t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554841179,1,9,9.000000,9,0.000000,9.000000,9.000000,9.000000,9.000000,9.000000,9.000000
1554841189,3,36,16.967155,6,13.510810,9.000000,36.000000,36.000000,36.000000,36.000000,36.000000
1554841199,9,838,190.098491,4,289.273215,31.000000,188.000000,838.000000,838.000000,838.000000,838.000000
1554841209,14,838,130.309395,3,237.184712,22.000000,175.000000,838.000000,838.000000,838.000000,838.000000
1554841219,18,838,147.082003,3,233.674906,31.000000,175.000000,576.000000,838.000000,838.000000,838.000000
1554841229,22,967,179.608010,3,284.286411,31.000000,175.000000,967.000000,967.000000,967.000000,967.000000
1554841239,27,967,139.301683,3,254.101638,31.000000,150.000000,838.000000,967.000000,967.000000,967.000000
1554841249,31,967,113.920620,3,233.523096,22.000000,38.000000,838.000000,967.000000,967.000000,967.000000
1554841259,35,967,110.570143,3,213.204081,23.000000,159.000000,576.000000,967.000000,967.000000,967.000000
1554841269,40,967,114.572647,3,215.540298,23.000000,150.000000,573.000000,967.000000,967.000000,967.000000
1554841279,43,967,138.849712,3,221.576727,29.000000,163.000000,573.000000,838.000000,967.000000,967.000000
1554841289,48,971,155.837853,3,263.905842,31.000000,163.000000,967.000000,971.000000,971.000000,971.000000
1554841299,51,971,163.526817,3,250.688393,37.000000,163.000000,838.000000,971.000000,971.000000,971.000000
1554841309,53,971,150.084869,3,243.053487,31.000000,159.000000,838.000000,971.000000,971.000000,971.000000
1554841319,58,971,124.793211,3,223.404708,23.000000,155.000000,573.000000,971.000000,971.000000,971.000000
1554841329,62,971,108.946551,3,208.434732,21.000000,141.000000,573.000000,971.000000,971.000000,971.000000
1554841339,67,971,94.070200,3,190.885074,21.000000,46.000000,568.000000,967.000000,971.000000,971.000000
1554841349,72,971,82.717270,3,175.009583,22.000000,46.000000,568.000000,967.000000,971.000000,971.000000
1554841359,77,971,94.166161,3,180.779265,36.000000,50.000000,549.000000,576.000000,971.000000,971.000000
1554841369,81,971,83.543136,3,170.320338,26.000000,48.000000,549.000000,573.000000,971.000000,971.000000
1554841379,84,971,113.624041,3,207.080531,29.000000,54.000000,740.000000,740.000000,967.000000,971.000000
1554841389,88,971,98.804598,3,195.839000,20.000000,48.000000,573.000000,740.000000,967.000000,971.000000
1554841399,93,971,145.248662,3,246.080959,35.000000,141.000000,740.000000,944.000000,944.000000,971.000000
1554841409,98,971,142.259181,3,239.037148,35.000000,138.000000,740.000000,944.000000,944.000000,971.000000
1554841419,103,971,122.064788,3,223.800765,23.000000,54.000000,576.000000,944.000000,944.000000,971.000000
1554841429,107,971,127.669443,3,222.618337,23.000000,125.000000,568.000000,944.000000,944.000000,971.000000
1554841439,108,971,126.333543,3,218.514757,31.000000,125.000000,568.000000,944.000000,944.000000,971.000000
1554841449,112,971,143.742786,3,256.474970,22.000000,125.000000,920.000000,944.000000,944.000000,971.000000
1554841459,114,971,156.704143,3,256.623431,33.000000,125.000000,920.000000,944.000000,944.000000,971.000000
1554841469,118,971,135.538866,3,242.114030,19.000000,119.000000,740.000000,920.000000,944.000000,971.000000
1554841479,121,971,124.538364,1,230.135805,17.000000,119.000000,740.000000,920.000000,944.000000,971.000000
1554841489,123,971,114.846790,1,223.309968,16.000000,92.000000,568.000000,920.000000,944.000000,971.000000
1554841499,126,971,126.364667,1,215.475989,20.000000,126.000000,549.000000,920.000000,944.000000,971.000000
1554841509,126,971,126.364667,1,215.475989,20.000000,126.000000,549.000000,920.000000,944.000000,971.000000
1554841519,126,971,126.364667,1,215.475989,20.000000,126.000000,549.000000,920.000000,944.000000,971.000000
1554841529,126,971,126.364667,1,215.475989,20.000000,126.000000,549.000000,920.000000,944.000000,971.000000
