t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554841175,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1554841185,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1554841195,1,854,854.000000,854,0.000000,854.000000,854.000000,854.000000,854.000000,854.000000,854.000000
1554841205,1,854,854.000000,854,0.000000,854.000000,854.000000,854.000000,854.000000,854.000000,854.000000
1554841215,2,854,508.073328,244,302.241638,244.000000,854.000000,854.000000,854.000000,854.000000,854.000000
1554841225,2,854,508.073328,244,302.241638,244.000000,854.000000,854.000000,854.000000,854.000000,854.000000
1554841235,2,854,508.073328,244,302.241638,244.000000,854.000000,854.000000,854.000000,854.000000,854.000000
1554841245,2,854,508.073328,244,302.241638,244.000000,854.000000,854.000000,854.000000,854.000000,854.000000
1554841255,2,854,508.073328,244,302.241638,244.000000,854.000000,854.000000,854.000000,854.000000,854.000000
1554841265,2,854,508.073328,244,302.241638,244.000000,854.000000,854.000000,854.000000,854.000000,854.000000
1554841275,2,854,508.073328,244,302.241638,244.000000,854.000000,854.000000,854.000000,854.000000,854.000000
1554841285,3,854,549.697343,244,188.651723,575.000000,575.000000,854.000000,854.000000,854.000000,854.000000
1554841295,3,854,549.697343,244,188.651723,575.000000,575.000000,854.000000,854.000000,854.000000,854.000000
1554841305,3,854,549.697343,244,188.651723,575.000000,575.000000,854.000000,854.000000,854.000000,854.000000
1554841315,3,854,549.697343,244,188.651723,575.000000,575.000000,854.000000,854.000000,854.000000,854.000000
1554841325,3,854,549.697343,244,188.651723,575.000000,575.000000,854.000000,854.000000,854.000000,854.000000
1554841335,3,854,549.697343,244,188.651723,575.000000,575.000000,854.000000,854.000000,854.000000,854.000000
1554841345,3,854,549.697343,244,188.651723,575.000000,575.000000,854.000000,854.000000,854.000000,854.000000
1554841355,3,854,549.697343,244,188.651723,575.000000,575.000000,854.000000,854.000000,854.000000,854.000000
1554841365,3,854,549.697343,244,188.651723,575.000000,575.000000,854.000000,854.000000,854.000000,854.000000
1554841375,3,854,549.697343,244,188.651723,575.000000,575.000000,854.000000,854.000000,854.000000,854.000000
1554841385,3,854,549.697343,244,188.651723,575.000000,575.000000,854.000000,854.000000,854.000000,854.000000
1554841395,3,854,549.697343,244,188.651723,575.000000,575.000000,854.000000,854.000000,854.000000,854.000000
1554841405,3,854,549.697343,244,188.651723,575.000000,575.000000,854.000000,854.000000,854.000000,854.000000
1554841415,3,854,549.697343,244,188.651723,575.000000,575.000000,854.000000,854.000000,854.000000,854.000000
1554841425,3,854,549.697343,244,188.651723,575.000000,575.000000,854.000000,854.000000,854.000000,854.000000
1554841435,3,854,549.697343,244,188.651723,575.000000,575.000000,854.000000,854.000000,854.000000,854.000000
1554841445,3,854,549.697343,244,188.651723,575.000000,575.000000,854.000000,854.000000,854.000000,854.000000
1554841455,3,854,549.697343,244,188.651723,575.000000,575.000000,854.000000,854.000000,854.000000,854.000000
1554841465,3,854,549.697343,244,188.651723,575.000000,575.000000,854.000000,854.000000,854.000000,854.000000
1554841475,3,854,549.697343,244,188.651723,575.000000,575.000000,854.000000,854.000000,854.000000,854.000000
1554841485,3,854,549.697343,244,188.651723,575.000000,575.000000,854.000000,854.000000,854.000000,854.000000
1554841495,3,854,549.697343,244,188.651723,575.000000,575.000000,854.000000,854.000000,854.000000,854.000000
1554841505,3,854,549.697343,244,188.651723,575.000000,575.000000,854.000000,854.000000,854.000000,854.000000
1554841515,3,854,549.697343,244,188.651723,575.000000,575.000000,854.000000,854.000000,854.000000,854.000000
1554841525,3,854,549.697343,244,188.651723,575.000000,575.000000,854.000000,854.000000,854.000000,854.000000
1554841535,3,854,549.697343,244,188.651723,575.000000,575.000000,854.000000,854.000000,854.000000,854.000000
1554841545,3,854,549.697343,244,188.651723,575.000000,575.000000,854.000000,854.000000,854.000000,854.000000
