t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554841175,1,28,28.000000,28,0.000000,28.000000,28.000000,28.000000,28.000000,28.000000,28.000000
1554841185,6,28,23.267748,11,6.423321,27.000000,28.000000,28.000000,28.000000,28.000000,28.000000
1554841195,11,46,24.554003,10,9.285080,25.000000,28.000000,46.000000,46.000000,46.000000,46.000000
1554841205,16,55,31.939787,10,14.326115,27.000000,46.000000,55.000000,55.000000,55.000000,55.000000
1554841215,21,55,31.215849,10,14.219113,27.000000,46.000000,54.000000,55.000000,55.000000,55.000000
1554841225,26,55,30.434059,10,14.035222,25.000000,38.000000,54.000000,55.000000,55.000000,55.000000
1554841235,31,55,34.380743,10,14.617757,34.000000,51.000000,54.000000,55.000000,55.000000,55.000000
1554841245,36,66,38.225011,10,15.299910,46.000000,51.000000,55.000000,66.000000,66.000000,66.000000
1554841255,41,66,40.054251,10,15.633443,48.000000,51.000000,65.000000,66.000000,66.000000,66.000000
1554841265,46,66,39.981235,10,15.165760,46.000000,51.000000,65.000000,66.000000,66.000000,66.000000
1554841275,51,103,41.410440,9,19.475427,46.000000,51.000000,66.000000,103.000000,103.000000,103.000000
1554841285,56,103,42.425774,8,22.218328,44.000000,53.000000,101.000000,103.000000,103.000000,103.000000
1554841295,61,103,43.797463,8,21.199148,44.000000,55.000000,101.000000,103.000000,103.000000,103.000000
1554841305,66,103,43.527685,8,20.520128,41.000000,54.000000,74.000000,101.000000,103.000000,103.000000
1554841315,71,653,61.974557,8,109.375444,41.000000,53.000000,101.000000,653.000000,653.000000,653.000000
1554841325,76,653,58.007135,8,100.994597,41.000000,52.000000,101.000000,653.000000,653.000000,653.000000
1554841335,81,653,54.412804,8,93.480831,39.000000,51.000000,74.000000,653.000000,653.000000,653.000000
1554841345,86,653,53.682975,8,86.211291,45.000000,50.000000,74.000000,103.000000,653.000000,653.000000
1554841355,91,653,52.208552,8,79.710742,44.000000,49.000000,74.000000,103.000000,653.000000,653.000000
1554841365,96,653,55.028710,8,75.305029,44.000000,53.000000,109.000000,112.000000,653.000000,653.000000
1554841375,101,653,53.266270,7,70.436757,43.000000,52.000000,109.000000,112.000000,653.000000,653.000000
1554841385,106,653,61.630801,4,82.126434,44.000000,60.000000,112.000000,337.000000,653.000000,653.000000
1554841395,111,653,59.340613,4,76.543905,44.000000,65.000000,112.000000,337.000000,337.000000,653.000000
1554841405,116,653,57.381232,4,71.360723,43.000000,64.000000,109.000000,337.000000,337.000000,653.000000
1554841415,121,653,74.517419,4,96.673319,46.000000,69.000000,337.000000,416.000000,416.000000,653.000000
1554841425,126,653,68.107606,4,91.030857,41.000000,64.000000,283.000000,416.000000,416.000000,653.000000
1554841435,131,653,64.721837,4,85.052478,44.000000,64.000000,283.000000,416.000000,416.000000,653.000000
1554841445,136,653,59.047683,4,80.354239,39.000000,62.000000,283.000000,416.000000,416.000000,653.000000
1554841455,141,653,57.409375,4,75.524300,38.000000,64.000000,133.000000,337.000000,416.000000,653.000000
1554841465,146,653,54.739931,4,70.671846,38.000000,64.000000,133.000000,337.000000,416.000000,653.000000
1554841475,151,653,52.475058,4,66.003561,39.000000,57.000000,109.000000,337.000000,416.000000,653.000000
1554841485,156,653,50.224784,4,61.943135,37.000000,57.000000,101.000000,283.000000,416.000000,653.000000
1554841495,161,653,55.702415,4,77.929478,33.000000,57.000000,283.000000,351.000000,416.000000,653.000000
1554841505,166,653,51.213442,4,73.594985,28.000000,55.000000,133.000000,351.000000,351.000000,653.000000
1554841515,171,653,47.584305,4,69.291902,27.000000,54.000000,109.000000,351.000000,351.000000,653.000000
1554841525,176,653,50.742443,4,73.048577,28.000000,54.000000,246.000000,351.000000,351.000000,653.000000
1554841535,181,653,51.994728,4,68.450638,30.000000,62.000000,246.000000,351.000000,351.000000,653.000000
1554841545,186,653,52.118523,4,64.979669,32.000000,63.000000,133.000000,337.000000,351.000000,416.000000
