t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554841189,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1554841199,5,1428,662.783032,90,596.042123,292.000000,1292.000000,1428.000000,1428.000000,1428.000000,1428.000000
1554841209,10,1428,560.184080,90,543.076947,292.000000,1292.000000,1428.000000,1428.000000,1428.000000,1428.000000
1554841219,15,1522,585.864752,11,574.297090,275.000000,1292.000000,1522.000000,1522.000000,1522.000000,1522.000000
1554841229,20,1522,632.419591,11,568.966657,292.000000,1285.000000,1522.000000,1522.000000,1522.000000,1522.000000
1554841239,25,1522,579.638942,11,539.170473,275.000000,1283.000000,1428.000000,1522.000000,1522.000000,1522.000000
1554841249,30,1563,618.052327,11,554.257770,292.000000,1285.000000,1522.000000,1563.000000,1563.000000,1563.000000
1554841259,35,1563,572.701243,11,541.595595,275.000000,1281.000000,1522.000000,1563.000000,1563.000000,1563.000000
1554841269,40,1563,642.374815,11,567.942941,283.000000,1286.000000,1459.000000,1563.000000,1563.000000,1563.000000
1554841279,45,1563,689.813898,11,577.565050,283.000000,1338.000000,1501.000000,1563.000000,1563.000000,1563.000000
1554841289,50,1624,774.406265,11,591.074015,472.000000,1345.000000,1563.000000,1624.000000,1624.000000,1624.000000
1554841299,55,1632,751.752547,11,609.068773,451.000000,1338.000000,1624.000000,1632.000000,1632.000000,1632.000000
1554841309,60,1632,861.937194,11,609.596435,1270.000000,1428.000000,1624.000000,1632.000000,1632.000000,1632.000000
1554841319,65,1632,928.040975,11,615.221092,1285.000000,1478.000000,1568.000000,1632.000000,1632.000000,1632.000000
1554841329,70,1645,887.494720,11,647.459094,1281.000000,1500.000000,1632.000000,1645.000000,1645.000000,1645.000000
1554841339,75,1645,898.091017,11,634.431902,1285.000000,1470.000000,1624.000000,1645.000000,1645.000000,1645.000000
1554841349,80,1645,850.818636,11,617.868352,1260.000000,1446.000000,1568.000000,1645.000000,1645.000000,1645.000000
1554841359,85,1645,767.037340,11,603.364199,451.000000,1434.000000,1568.000000,1632.000000,1645.000000,1645.000000
1554841369,90,1645,768.770441,11,608.820614,405.000000,1435.000000,1584.000000,1632.000000,1645.000000,1645.000000
1554841379,95,1645,790.026308,11,613.520920,472.000000,1435.000000,1584.000000,1632.000000,1645.000000,1645.000000
1554841389,100,1645,776.778472,11,608.955449,405.000000,1434.000000,1568.000000,1624.000000,1645.000000,1645.000000
1554841399,105,1645,735.992153,11,606.906146,396.000000,1434.000000,1563.000000,1624.000000,1632.000000,1645.000000
1554841409,110,1645,766.478530,11,597.076552,435.000000,1389.000000,1555.000000,1584.000000,1632.000000,1645.000000
1554841419,114,1645,718.444892,11,607.725226,405.000000,1362.000000,1544.000000,1584.000000,1632.000000,1645.000000
1554841429,117,3511,772.247958,11,787.059962,361.000000,1389.000000,1584.000000,3511.000000,3511.000000,3511.000000
1554841439,118,3511,744.313106,11,785.446689,348.000000,1389.000000,1584.000000,3511.000000,3511.000000,3511.000000
1554841449,119,3511,820.477434,11,853.881702,396.000000,1391.000000,2622.000000,3511.000000,3511.000000,3511.000000
1554841459,119,3511,820.477434,11,853.881702,396.000000,1391.000000,2622.000000,3511.000000,3511.000000,3511.000000
1554841469,120,5222,1048.968112,11,1282.483245,435.000000,1434.000000,5222.000000,5222.000000,5222.000000,5222.000000
1554841479,120,5222,1048.968112,11,1282.483245,435.000000,1434.000000,5222.000000,5222.000000,5222.000000,5222.000000
1554841489,120,5222,1048.968112,11,1282.483245,435.000000,1434.000000,5222.000000,5222.000000,5222.000000,5222.000000
1554841499,120,5222,1048.968112,11,1282.483245,435.000000,1434.000000,5222.000000,5222.000000,5222.000000,5222.000000
1554841509,120,5222,1048.968112,11,1282.483245,435.000000,1434.000000,5222.000000,5222.000000,5222.000000,5222.000000
1554841519,120,5222,1048.968112,11,1282.483245,435.000000,1434.000000,5222.000000,5222.000000,5222.000000,5222.000000
1554841529,120,5222,1048.968112,11,1282.483245,435.000000,1434.000000,5222.000000,5222.000000,5222.000000,5222.000000
1554841539,120,5222,1048.968112,11,1282.483245,435.000000,1434.000000,5222.000000,5222.000000,5222.000000,5222.000000
