t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554841189,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1554841199,1,728,728.000000,728,0.000000,728.000000,728.000000,728.000000,728.000000,728.000000,728.000000
1554841209,1,728,728.000000,728,0.000000,728.000000,728.000000,728.000000,728.000000,728.000000,728.000000
1554841219,2,728,437.760749,206,259.357025,206.000000,728.000000,728.000000,728.000000,728.000000,728.000000
1554841229,2,728,437.760749,206,259.357025,206.000000,728.000000,728.000000,728.000000,728.000000,728.000000
1554841239,3,749,572.348535,206,248.904870,728.000000,749.000000,749.000000,749.000000,749.000000,749.000000
1554841249,3,749,572.348535,206,248.904870,728.000000,749.000000,749.000000,749.000000,749.000000,749.000000
1554841259,4,749,407.099548,124,293.088955,206.000000,749.000000,749.000000,749.000000,749.000000,749.000000
1554841269,4,749,407.099548,124,293.088955,206.000000,749.000000,749.000000,749.000000,749.000000,749.000000
1554841279,4,749,407.099548,124,293.088955,206.000000,749.000000,749.000000,749.000000,749.000000,749.000000
1554841289,4,749,407.099548,124,293.088955,206.000000,749.000000,749.000000,749.000000,749.000000,749.000000
1554841299,5,749,255.953255,44,286.669308,124.000000,728.000000,749.000000,749.000000,749.000000,749.000000
1554841309,5,749,255.953255,44,286.669308,124.000000,728.000000,749.000000,749.000000,749.000000,749.000000
1554841319,5,749,255.953255,44,286.669308,124.000000,728.000000,749.000000,749.000000,749.000000,749.000000
1554841329,5,749,255.953255,44,286.669308,124.000000,728.000000,749.000000,749.000000,749.000000,749.000000
1554841339,6,749,242.222384,44,219.547247,223.000000,223.000000,749.000000,749.000000,749.000000,749.000000
1554841349,6,749,242.222384,44,219.547247,223.000000,223.000000,749.000000,749.000000,749.000000,749.000000
1554841359,6,749,242.222384,44,219.547247,223.000000,223.000000,749.000000,749.000000,749.000000,749.000000
1554841369,6,749,242.222384,44,219.547247,223.000000,223.000000,749.000000,749.000000,749.000000,749.000000
1554841379,6,749,242.222384,44,219.547247,223.000000,223.000000,749.000000,749.000000,749.000000,749.000000
1554841389,6,749,242.222384,44,219.547247,223.000000,223.000000,749.000000,749.000000,749.000000,749.000000
1554841399,6,749,242.222384,44,219.547247,223.000000,223.000000,749.000000,749.000000,749.000000,749.000000
1554841409,6,749,242.222384,44,219.547247,223.000000,223.000000,749.000000,749.000000,749.000000,749.000000
1554841419,6,749,242.222384,44,219.547247,223.000000,223.000000,749.000000,749.000000,749.000000,749.000000
1554841429,6,749,242.222384,44,219.547247,223.000000,223.000000,749.000000,749.000000,749.000000,749.000000
1554841439,6,749,242.222384,44,219.547247,223.000000,223.000000,749.000000,749.000000,749.000000,749.000000
1554841449,6,749,242.222384,44,219.547247,223.000000,223.000000,749.000000,749.000000,749.000000,749.000000
1554841459,6,749,242.222384,44,219.547247,223.000000,223.000000,749.000000,749.000000,749.000000,749.000000
1554841469,6,749,242.222384,44,219.547247,223.000000,223.000000,749.000000,749.000000,749.000000,749.000000
1554841479,6,749,242.222384,44,219.547247,223.000000,223.000000,749.000000,749.000000,749.000000,749.000000
1554841489,6,749,242.222384,44,219.547247,223.000000,223.000000,749.000000,749.000000,749.000000,749.000000
1554841499,6,749,242.222384,44,219.547247,223.000000,223.000000,749.000000,749.000000,749.000000,749.000000
1554841509,6,749,242.222384,44,219.547247,223.000000,223.000000,749.000000,749.000000,749.000000,749.000000
1554841519,6,749,242.222384,44,219.547247,223.000000,223.000000,749.000000,749.000000,749.000000,749.000000
1554841529,6,749,242.222384,44,219.547247,223.000000,223.000000,749.000000,749.000000,749.000000,749.000000
1554841539,6,749,242.222384,44,219.547247,223.000000,223.000000,749.000000,749.000000,749.000000,749.000000
