t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554841189,2,163,107.347436,50,56.493644,163.000000,163.000000,163.000000,163.000000,163.000000,163.000000
1554841199,7,163,57.857128,1,66.994753,43.000000,163.000000,163.000000,163.000000,163.000000,163.000000
1554841209,12,163,31.934521,1,56.630262,2.000000,43.000000,163.000000,163.000000,163.000000,163.000000
1554841219,16,173,35.160685,1,62.260874,2.000000,43.000000,173.000000,173.000000,173.000000,173.000000
1554841229,21,954,114.373671,1,250.731097,2.000000,50.000000,954.000000,954.000000,954.000000,954.000000
1554841239,25,954,92.594367,1,225.479897,4.000000,19.000000,555.000000,954.000000,954.000000,954.000000
1554841249,30,954,87.252919,1,208.708976,3.000000,19.000000,555.000000,954.000000,954.000000,954.000000
1554841259,34,954,156.081249,1,274.921212,4.000000,173.000000,762.000000,954.000000,954.000000,954.000000
1554841269,39,954,125.247849,1,251.372638,9.000000,43.000000,762.000000,954.000000,954.000000,954.000000
1554841279,42,954,148.282629,1,266.343233,9.000000,173.000000,762.000000,762.000000,954.000000,954.000000
1554841289,47,954,145.274301,1,256.019727,10.000000,163.000000,761.000000,762.000000,954.000000,954.000000
1554841299,50,954,197.447794,1,310.782658,12.000000,329.000000,952.000000,952.000000,954.000000,954.000000
1554841309,53,954,214.327980,1,331.064452,18.000000,329.000000,946.000000,952.000000,954.000000,954.000000
1554841319,58,954,208.303463,1,312.287805,15.000000,342.000000,946.000000,952.000000,952.000000,954.000000
1554841329,61,954,220.774373,1,329.101730,19.000000,342.000000,946.000000,952.000000,952.000000,954.000000
1554841339,66,954,183.712801,1,307.084995,17.000000,197.000000,946.000000,952.000000,952.000000,954.000000
1554841349,71,954,154.183131,1,285.747067,16.000000,50.000000,924.000000,952.000000,952.000000,954.000000
1554841359,76,954,132.365162,1,265.265645,16.000000,50.000000,924.000000,946.000000,952.000000,954.000000
1554841369,80,954,115.138119,1,250.524680,16.000000,40.000000,762.000000,946.000000,952.000000,954.000000
1554841379,84,954,111.379382,1,237.809377,16.000000,22.000000,761.000000,946.000000,952.000000,954.000000
1554841389,87,954,100.864199,1,227.054831,15.000000,20.000000,751.000000,946.000000,952.000000,954.000000
1554841399,91,954,87.694325,1,212.819542,12.000000,18.000000,743.000000,924.000000,952.000000,954.000000
1554841409,96,954,77.731323,1,195.956932,11.000000,18.000000,537.000000,924.000000,946.000000,954.000000
1554841419,101,954,65.153384,1,181.209776,9.000000,16.000000,528.000000,924.000000,946.000000,954.000000
1554841429,105,954,85.253569,1,207.336797,9.000000,18.000000,717.000000,762.000000,946.000000,954.000000
1554841439,106,954,118.464706,1,260.166213,10.000000,20.000000,914.000000,914.000000,946.000000,954.000000
1554841449,109,954,125.598745,1,258.658391,10.000000,22.000000,914.000000,914.000000,946.000000,954.000000
1554841459,112,954,164.369196,1,278.032134,11.000000,125.000000,751.000000,914.000000,924.000000,954.000000
1554841469,116,954,143.748846,1,261.213975,11.000000,111.000000,717.000000,914.000000,924.000000,954.000000
1554841479,119,954,172.576471,1,276.493633,11.000000,163.000000,717.000000,914.000000,924.000000,952.000000
1554841489,121,954,200.125007,1,308.542819,13.000000,506.000000,918.000000,918.000000,918.000000,952.000000
1554841499,124,954,227.265762,1,313.845674,19.000000,515.000000,914.000000,918.000000,918.000000,952.000000
1554841509,125,954,217.380466,1,309.748207,16.000000,512.000000,914.000000,918.000000,918.000000,952.000000
1554841519,128,954,217.149105,1,295.269413,20.000000,506.000000,914.000000,918.000000,918.000000,952.000000
1554841529,132,954,275.941980,1,315.982983,90.000000,515.000000,890.000000,918.000000,918.000000,952.000000
1554841539,134,954,305.517616,1,327.708657,117.000000,517.000000,890.000000,918.000000,918.000000,952.000000
