t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554841189,2,38,35.462503,33,2.499719,33.000000,38.000000,38.000000,38.000000,38.000000,38.000000
1554841199,7,613,112.822753,15,205.621099,31.000000,38.000000,613.000000,613.000000,613.000000,613.000000
1554841209,11,613,77.146610,15,164.045782,27.000000,31.000000,613.000000,613.000000,613.000000,613.000000
1554841219,16,855,124.975388,15,245.990182,27.000000,42.000000,855.000000,855.000000,855.000000,855.000000
1554841229,21,855,98.883561,15,209.741046,33.000000,42.000000,855.000000,855.000000,855.000000,855.000000
1554841239,25,855,91.563778,15,189.170889,31.000000,38.000000,613.000000,855.000000,855.000000,855.000000
1554841249,29,855,116.642655,15,205.510882,34.000000,66.000000,615.000000,855.000000,855.000000,855.000000
1554841259,34,855,94.503749,11,184.991719,30.000000,42.000000,615.000000,855.000000,855.000000,855.000000
1554841269,37,855,109.301003,9,204.316708,29.000000,48.000000,615.000000,855.000000,855.000000,855.000000
1554841279,42,855,106.352320,8,195.995852,26.000000,42.000000,613.000000,615.000000,855.000000,855.000000
1554841289,45,855,153.085401,8,249.833454,28.000000,76.000000,791.000000,791.000000,855.000000,855.000000
1554841299,47,855,142.151183,8,240.434683,30.000000,66.000000,791.000000,791.000000,855.000000,855.000000
1554841309,52,855,123.509140,8,217.588592,35.000000,55.000000,615.000000,791.000000,855.000000,855.000000
1554841319,56,855,151.297962,2,241.452232,35.000000,188.000000,791.000000,801.000000,801.000000,855.000000
1554841329,61,855,135.074727,2,221.322513,38.000000,169.000000,791.000000,801.000000,801.000000,855.000000
1554841339,66,855,116.410644,2,204.541649,36.000000,64.000000,615.000000,801.000000,801.000000,855.000000
1554841349,71,979,137.130206,2,245.138797,38.000000,84.000000,801.000000,979.000000,979.000000,979.000000
1554841359,75,979,133.635379,2,229.303274,44.000000,85.000000,801.000000,979.000000,979.000000,979.000000
1554841369,78,979,126.891202,2,218.475302,44.000000,169.000000,791.000000,979.000000,979.000000,979.000000
1554841379,82,979,111.501995,2,206.248959,40.000000,84.000000,615.000000,979.000000,979.000000,979.000000
1554841389,86,979,150.901856,2,255.648032,44.000000,169.000000,934.000000,934.000000,979.000000,979.000000
1554841399,91,982,162.259182,2,280.029519,46.000000,85.000000,934.000000,982.000000,982.000000,982.000000
1554841409,96,982,142.875320,2,259.432572,45.000000,62.000000,934.000000,982.000000,982.000000,982.000000
1554841419,100,982,160.556109,2,272.894197,45.000000,85.000000,934.000000,982.000000,982.000000,982.000000
1554841429,100,982,160.556109,2,272.894197,45.000000,85.000000,934.000000,982.000000,982.000000,982.000000
1554841439,100,982,160.556109,2,272.894197,45.000000,85.000000,934.000000,982.000000,982.000000,982.000000
1554841449,100,982,160.556109,2,272.894197,45.000000,85.000000,934.000000,982.000000,982.000000,982.000000
1554841459,100,982,160.556109,2,272.894197,45.000000,85.000000,934.000000,982.000000,982.000000,982.000000
1554841469,100,982,160.556109,2,272.894197,45.000000,85.000000,934.000000,982.000000,982.000000,982.000000
1554841479,100,982,160.556109,2,272.894197,45.000000,85.000000,934.000000,982.000000,982.000000,982.000000
1554841489,100,982,160.556109,2,272.894197,45.000000,85.000000,934.000000,982.000000,982.000000,982.000000
1554841499,100,982,160.556109,2,272.894197,45.000000,85.000000,934.000000,982.000000,982.000000,982.000000
1554841509,100,982,160.556109,2,272.894197,45.000000,85.000000,934.000000,982.000000,982.000000,982.000000
1554841519,100,982,160.556109,2,272.894197,45.000000,85.000000,934.000000,982.000000,982.000000,982.000000
1554841529,100,982,160.556109,2,272.894197,45.000000,85.000000,934.000000,982.000000,982.000000,982.000000
1554841539,100,982,160.556109,2,272.894197,45.000000,85.000000,934.000000,982.000000,982.000000,982.000000
