t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554841189,2,57,37.715021,19,18.997863,19.000000,57.000000,57.000000,57.000000,57.000000,57.000000
1554841199,7,57,33.277158,16,12.583547,34.000000,42.000000,57.000000,57.000000,57.000000,57.000000
1554841209,12,70,38.725245,11,18.734620,34.000000,59.000000,70.000000,70.000000,70.000000,70.000000
1554841219,17,426,70.130166,11,101.264928,42.000000,60.000000,426.000000,426.000000,426.000000,426.000000
1554841229,22,426,60.228137,11,87.290237,42.000000,57.000000,426.000000,426.000000,426.000000,426.000000
1554841239,27,426,53.072205,11,76.867568,41.000000,55.000000,76.000000,426.000000,426.000000,426.000000
1554841249,32,426,52.279007,11,68.461453,41.000000,57.000000,86.000000,426.000000,426.000000,426.000000
1554841259,37,426,49.945274,11,61.717837,41.000000,57.000000,86.000000,426.000000,426.000000,426.000000
1554841269,42,426,50.699547,11,56.448956,48.000000,57.000000,88.000000,88.000000,426.000000,426.000000
1554841279,47,426,58.594726,11,80.579437,44.000000,57.000000,381.000000,381.000000,426.000000,426.000000
1554841289,52,426,58.944463,11,73.580546,46.000000,65.000000,88.000000,381.000000,426.000000,426.000000
1554841299,57,426,58.931307,11,67.235326,46.000000,65.000000,88.000000,381.000000,426.000000,426.000000
1554841309,62,426,58.975795,11,62.041256,48.000000,70.000000,86.000000,381.000000,381.000000,426.000000
1554841319,67,426,57.945803,11,57.472982,46.000000,76.000000,79.000000,381.000000,381.000000,426.000000
1554841329,72,426,53.660996,11,53.810359,44.000000,67.000000,79.000000,381.000000,381.000000,426.000000
1554841339,77,426,53.414320,11,50.043333,46.000000,69.000000,79.000000,88.000000,381.000000,426.000000
1554841349,82,834,80.203468,11,146.441012,51.000000,76.000000,88.000000,834.000000,834.000000,834.000000
1554841359,87,834,75.687291,11,135.816287,48.000000,76.000000,86.000000,834.000000,834.000000,834.000000
1554841369,92,834,68.642088,11,126.507962,45.000000,69.000000,84.000000,834.000000,834.000000,834.000000
1554841379,97,834,64.107014,11,117.434242,43.000000,67.000000,84.000000,834.000000,834.000000,834.000000
1554841389,102,834,59.864594,11,109.111221,41.000000,61.000000,84.000000,381.000000,834.000000,834.000000
1554841399,107,834,81.411892,11,161.065386,43.000000,69.000000,103.000000,823.000000,834.000000,834.000000
1554841409,112,834,75.944421,6,150.029385,42.000000,72.000000,103.000000,823.000000,834.000000,834.000000
1554841419,117,839,110.299885,6,206.091755,45.000000,72.000000,823.000000,839.000000,839.000000,839.000000
1554841429,122,839,99.733035,6,192.676152,42.000000,70.000000,823.000000,839.000000,839.000000,839.000000
1554841439,127,839,91.228063,6,179.826882,41.000000,70.000000,621.000000,839.000000,839.000000,839.000000
1554841449,132,839,82.782899,6,167.891391,36.000000,67.000000,621.000000,834.000000,839.000000,839.000000
1554841459,137,839,76.102261,6,156.575066,35.000000,62.000000,103.000000,834.000000,839.000000,839.000000
1554841469,142,839,68.744253,6,146.263074,35.000000,57.000000,103.000000,823.000000,839.000000,839.000000
1554841479,147,839,81.681668,6,163.537024,35.000000,63.000000,630.000000,823.000000,839.000000,839.000000
1554841489,152,839,75.907482,6,152.426434,35.000000,63.000000,621.000000,823.000000,834.000000,839.000000
1554841499,157,839,68.060382,6,142.670267,34.000000,58.000000,103.000000,630.000000,834.000000,839.000000
1554841509,162,839,81.014095,6,160.707919,35.000000,58.000000,621.000000,630.000000,823.000000,839.000000
1554841519,167,839,75.321534,6,149.816126,36.000000,57.000000,621.000000,630.000000,823.000000,839.000000
1554841529,172,839,73.244645,6,139.294784,36.000000,63.000000,381.000000,630.000000,823.000000,839.000000
1554841539,177,839,76.351725,6,136.862243,36.000000,63.000000,329.000000,630.000000,630.000000,839.000000
