t,count
1554841184,7
1554841194,12
1554841204,18
1554841214,23
1554841224,28
1554841234,33
1554841244,39
1554841254,45
1554841264,50
1554841274,57
1554841284,63
1554841294,70
1554841304,78
1554841314,85
1554841324,94
1554841334,104
1554841344,114
1554841354,124
1554841364,133
1554841374,143
1554841384,153
1554841394,163
1554841404,173
1554841414,183
1554841424,193
1554841434,203
1554841444,213
1554841454,223
1554841464,233
1554841474,243
1554841484,253
1554841494,263
1554841504,273
1554841514,283
1554841524,293
1554841534,303
