t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554841184,5,920,209.856122,13,364.416496,26.000000,35.000000,920.000000,920.000000,920.000000,920.000000
1554841194,7,920,152.206038,13,313.364526,26.000000,35.000000,920.000000,920.000000,920.000000,920.000000
1554841204,12,920,93.900305,13,235.119119,32.000000,35.000000,920.000000,920.000000,920.000000,920.000000
1554841214,16,920,71.377287,10,198.274776,30.000000,34.000000,920.000000,920.000000,920.000000,920.000000
1554841224,20,920,93.502006,8,202.830465,30.000000,35.000000,510.000000,920.000000,920.000000,920.000000
1554841234,24,920,128.170459,8,258.949202,32.000000,39.000000,907.000000,920.000000,920.000000,920.000000
1554841244,28,920,106.676941,6,233.944595,32.000000,39.000000,907.000000,920.000000,920.000000,920.000000
1554841254,33,920,118.608964,4,245.067524,35.000000,39.000000,907.000000,907.000000,920.000000,920.000000
1554841264,37,920,100.539626,4,225.417964,31.000000,38.000000,722.000000,907.000000,920.000000,920.000000
1554841274,42,920,83.369687,4,203.480912,27.000000,37.000000,722.000000,907.000000,920.000000,920.000000
1554841284,45,920,80.003639,4,190.514451,28.000000,38.000000,722.000000,907.000000,907.000000,920.000000
1554841294,49,920,68.870644,4,175.977569,25.000000,37.000000,510.000000,907.000000,907.000000,920.000000
1554841304,52,920,77.975517,4,172.177507,25.000000,39.000000,510.000000,907.000000,907.000000,920.000000
1554841314,55,920,81.186196,4,167.417382,25.000000,39.000000,307.000000,722.000000,907.000000,920.000000
1554841324,60,920,99.949761,3,204.405539,25.000000,39.000000,752.000000,752.000000,907.000000,920.000000
1554841334,64,920,126.615389,3,226.869214,31.000000,48.000000,722.000000,752.000000,907.000000,920.000000
1554841344,69,920,131.921370,3,234.401547,31.000000,42.000000,718.000000,752.000000,907.000000,920.000000
1554841354,74,920,122.793804,3,218.017310,31.000000,46.000000,718.000000,752.000000,752.000000,920.000000
1554841364,79,920,116.502592,3,203.415275,34.000000,46.000000,718.000000,752.000000,752.000000,920.000000
1554841374,82,920,151.227964,3,239.606463,35.000000,111.000000,680.000000,752.000000,752.000000,920.000000
1554841384,86,920,163.535722,3,246.177927,35.000000,275.000000,680.000000,752.000000,752.000000,920.000000
1554841394,89,920,148.338621,3,236.978902,31.000000,275.000000,680.000000,722.000000,752.000000,920.000000
1554841404,94,920,131.547760,3,218.474113,35.000000,67.000000,677.000000,718.000000,752.000000,920.000000
1554841414,99,920,111.942400,3,203.940184,31.000000,52.000000,677.000000,718.000000,752.000000,920.000000
1554841424,102,920,121.955239,3,202.806846,31.000000,67.000000,677.000000,718.000000,752.000000,920.000000
1554841434,102,920,121.955239,3,202.806846,31.000000,67.000000,677.000000,718.000000,752.000000,920.000000
1554841444,102,920,121.955239,3,202.806846,31.000000,67.000000,677.000000,718.000000,752.000000,920.000000
1554841454,102,920,121.955239,3,202.806846,31.000000,67.000000,677.000000,718.000000,752.000000,920.000000
1554841464,102,920,121.955239,3,202.806846,31.000000,67.000000,677.000000,718.000000,752.000000,920.000000
1554841474,103,920,113.893368,2,198.162579,31.000000,64.000000,677.000000,718.000000,752.000000,907.000000
1554841484,103,920,113.893368,2,198.162579,31.000000,64.000000,677.000000,718.000000,752.000000,907.000000
1554841494,103,920,113.893368,2,198.162579,31.000000,64.000000,677.000000,718.000000,752.000000,907.000000
1554841504,103,920,113.893368,2,198.162579,31.000000,64.000000,677.000000,718.000000,752.000000,907.000000
1554841514,103,920,113.893368,2,198.162579,31.000000,64.000000,677.000000,718.000000,752.000000,907.000000
1554841524,103,920,113.893368,2,198.162579,31.000000,64.000000,677.000000,718.000000,752.000000,907.000000
1554841534,103,920,113.893368,2,198.162579,31.000000,64.000000,677.000000,718.000000,752.000000,907.000000
