t,count
1554841168,3
1554841178,13
1554841188,22
1554841198,31
1554841208,40
1554841218,50
1554841228,59
1554841238,68
1554841248,78
1554841258,88
1554841268,98
1554841278,108
1554841288,118
1554841298,128
1554841308,138
1554841318,148
1554841328,158
1554841338,168
1554841348,178
1554841358,187
1554841368,197
1554841378,207
1554841388,217
1554841398,227
1554841408,237
1554841418,247
1554841428,257
1554841438,267
1554841448,277
1554841458,287
1554841468,297
1554841478,307
1554841488,317
1554841498,327
1554841508,337
1554841518,347
1554841528,357
