t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554841178,2,85,60.867472,36,24.497244,85.000000,85.000000,85.000000,85.000000,85.000000,85.000000
1554841188,7,92,50.044635,34,23.735538,36.000000,85.000000,92.000000,92.000000,92.000000,92.000000
1554841198,12,92,47.155182,15,21.955372,40.000000,63.000000,92.000000,92.000000,92.000000,92.000000
1554841208,17,92,47.263903,15,19.695064,40.000000,63.000000,85.000000,92.000000,92.000000,92.000000
1554841218,22,92,44.644124,15,18.346386,38.000000,62.000000,85.000000,92.000000,92.000000,92.000000
1554841228,27,92,43.095006,15,17.112102,38.000000,59.000000,85.000000,92.000000,92.000000,92.000000
1554841238,32,92,43.270411,15,18.131397,40.000000,59.000000,82.000000,92.000000,92.000000,92.000000
1554841248,37,92,40.729493,15,17.226035,36.000000,47.000000,82.000000,85.000000,92.000000,92.000000
1554841258,42,92,42.412575,15,16.673631,39.000000,52.000000,82.000000,85.000000,92.000000,92.000000
1554841268,47,92,45.595467,15,16.926296,42.000000,61.000000,69.000000,85.000000,92.000000,92.000000
1554841278,52,92,46.865072,15,17.337381,43.000000,63.000000,81.000000,82.000000,85.000000,92.000000
1554841288,57,92,44.722266,13,18.575327,42.000000,62.000000,81.000000,82.000000,85.000000,92.000000
1554841298,62,346,55.192964,12,58.281438,43.000000,64.000000,82.000000,346.000000,346.000000,346.000000
1554841308,67,346,55.099782,11,55.554242,46.000000,63.000000,121.000000,346.000000,346.000000,346.000000
1554841318,72,346,54.388126,10,52.836077,43.000000,65.000000,121.000000,346.000000,346.000000,346.000000
1554841328,77,427,71.071330,10,91.481441,45.000000,67.000000,346.000000,427.000000,427.000000,427.000000
1554841338,82,427,65.116817,10,85.526767,41.000000,63.000000,310.000000,427.000000,427.000000,427.000000
1554841348,87,427,63.986248,10,80.073856,41.000000,63.000000,310.000000,427.000000,427.000000,427.000000
1554841358,92,427,59.920276,10,74.646873,39.000000,59.000000,310.000000,346.000000,427.000000,427.000000
1554841368,97,427,58.324129,10,69.362019,41.000000,56.000000,123.000000,346.000000,427.000000,427.000000
1554841378,102,427,64.135482,10,79.274645,42.000000,56.000000,333.000000,346.000000,427.000000,427.000000
1554841388,107,427,62.594763,10,74.121830,43.000000,64.000000,310.000000,333.000000,427.000000,427.000000
1554841398,112,427,64.627324,10,69.488414,48.000000,71.000000,123.000000,333.000000,346.000000,427.000000
1554841408,117,427,69.949744,10,71.144826,49.000000,80.000000,195.000000,333.000000,346.000000,427.000000
1554841418,120,830,97.275547,10,149.574873,52.000000,90.000000,333.000000,830.000000,830.000000,830.000000
1554841428,122,830,105.548876,10,153.338271,54.000000,95.000000,379.000000,830.000000,830.000000,830.000000
1554841438,125,939,175.076243,10,255.089549,63.000000,164.000000,830.000000,939.000000,939.000000,939.000000
1554841448,126,939,201.667745,10,281.909732,64.000000,195.000000,841.000000,939.000000,939.000000,939.000000
1554841458,126,939,201.667745,10,281.909732,64.000000,195.000000,841.000000,939.000000,939.000000,939.000000
1554841468,126,939,201.667745,10,281.909732,64.000000,195.000000,841.000000,939.000000,939.000000,939.000000
1554841478,126,939,201.667745,10,281.909732,64.000000,195.000000,841.000000,939.000000,939.000000,939.000000
1554841488,126,939,201.667745,10,281.909732,64.000000,195.000000,841.000000,939.000000,939.000000,939.000000
1554841498,126,939,201.667745,10,281.909732,64.000000,195.000000,841.000000,939.000000,939.000000,939.000000
1554841508,126,939,201.667745,10,281.909732,64.000000,195.000000,841.000000,939.000000,939.000000,939.000000
1554841518,126,939,201.667745,10,281.909732,64.000000,195.000000,841.000000,939.000000,939.000000,939.000000
1554841528,126,939,201.667745,10,281.909732,64.000000,195.000000,841.000000,939.000000,939.000000,939.000000
