t,count
1554841194,8
1554841204,18
1554841214,27
1554841224,37
1554841234,47
1554841244,57
1554841254,66
1554841264,76
1554841274,86
1554841284,96
1554841294,106
1554841304,116
1554841314,126
1554841324,136
1554841334,146
1554841344,156
1554841354,166
1554841364,176
1554841374,186
1554841384,196
1554841394,206
1554841404,216
1554841414,226
1554841424,236
1554841434,246
1554841444,256
1554841454,266
1554841464,276
1554841474,286
1554841484,296
1554841494,306
1554841504,316
1554841514,326
1554841524,336
1554841534,346
1554841544,356
