t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554841194,4,55,22.321385,4,20.189205,8.000000,55.000000,55.000000,55.000000,55.000000,55.000000
1554841204,7,55,26.791315,4,18.333087,22.000000,51.000000,55.000000,55.000000,55.000000,55.000000
1554841214,12,55,26.937696,4,14.438759,23.000000,34.000000,55.000000,55.000000,55.000000,55.000000
1554841224,17,882,87.096401,4,215.053852,23.000000,34.000000,882.000000,882.000000,882.000000,882.000000
1554841234,21,882,70.597274,4,188.394364,23.000000,34.000000,882.000000,882.000000,882.000000,882.000000
1554841244,26,882,103.477914,4,243.661321,28.000000,34.000000,879.000000,882.000000,882.000000,882.000000
1554841254,30,882,89.889483,4,220.549364,28.000000,36.000000,879.000000,882.000000,882.000000,882.000000
1554841264,35,882,92.704308,4,211.723182,22.000000,36.000000,879.000000,882.000000,882.000000,882.000000
1554841274,40,882,116.287932,4,247.577559,26.000000,46.000000,865.000000,879.000000,882.000000,882.000000
1554841284,45,882,98.577860,4,225.540737,20.000000,46.000000,865.000000,879.000000,882.000000,882.000000
1554841294,49,882,125.681760,4,255.051871,19.000000,60.000000,865.000000,879.000000,882.000000,882.000000
1554841304,54,882,128.783902,4,256.323354,17.000000,51.000000,864.000000,879.000000,882.000000,882.000000
1554841314,56,882,166.125382,4,287.845259,19.000000,71.000000,877.000000,879.000000,879.000000,882.000000
1554841324,59,882,148.839446,4,273.924966,19.000000,64.000000,877.000000,879.000000,879.000000,882.000000
1554841334,64,882,140.246970,4,260.184377,16.000000,61.000000,865.000000,877.000000,879.000000,882.000000
1554841344,68,882,139.894136,4,250.380300,18.000000,61.000000,865.000000,877.000000,879.000000,882.000000
1554841354,73,882,134.136949,4,239.174245,18.000000,61.000000,864.000000,877.000000,879.000000,882.000000
1554841364,78,882,115.159244,4,222.040523,17.000000,51.000000,662.000000,877.000000,877.000000,882.000000
1554841374,83,882,99.463607,4,206.082177,16.000000,46.000000,662.000000,877.000000,877.000000,882.000000
1554841384,86,882,90.859197,4,197.021565,16.000000,36.000000,468.000000,865.000000,877.000000,882.000000
1554841394,90,882,95.693843,4,194.908223,16.000000,39.000000,455.000000,865.000000,877.000000,882.000000
1554841404,94,882,91.102249,4,184.175406,16.000000,46.000000,455.000000,864.000000,877.000000,882.000000
1554841414,99,882,109.471460,4,199.429199,18.000000,50.000000,635.000000,864.000000,877.000000,882.000000
1554841424,104,882,93.963550,4,185.718274,17.000000,39.000000,635.000000,662.000000,865.000000,882.000000
1554841434,109,882,80.805871,4,172.889151,16.000000,28.000000,455.000000,635.000000,865.000000,882.000000
1554841444,113,882,105.571264,4,212.922028,16.000000,36.000000,635.000000,843.000000,864.000000,882.000000
1554841454,115,882,126.395865,4,239.479216,16.000000,46.000000,773.000000,843.000000,864.000000,882.000000
1554841464,118,882,115.475903,4,228.376662,16.000000,39.000000,773.000000,843.000000,864.000000,879.000000
1554841474,122,882,159.238844,4,264.543699,18.000000,215.000000,818.000000,843.000000,843.000000,879.000000
1554841484,126,882,168.979268,4,280.038707,16.000000,215.000000,818.000000,843.000000,843.000000,879.000000
1554841494,129,882,196.437541,4,291.517519,17.000000,301.000000,818.000000,843.000000,843.000000,879.000000
1554841504,130,882,188.536200,4,287.639828,16.000000,244.000000,814.000000,843.000000,843.000000,879.000000
1554841514,133,882,223.801007,3,309.915249,17.000000,605.000000,824.000000,843.000000,843.000000,879.000000
1554841524,134,882,220.660058,3,303.207576,18.000000,605.000000,824.000000,824.000000,843.000000,879.000000
1554841534,135,882,248.761014,3,321.493497,21.000000,613.000000,824.000000,824.000000,843.000000,879.000000
1554841544,135,882,248.761014,3,321.493497,21.000000,613.000000,824.000000,824.000000,843.000000,879.000000
