t,count
1554841184,2
1554841194,7
1554841204,12
1554841214,17
1554841224,22
1554841234,27
1554841244,32
1554841254,37
1554841264,42
1554841274,47
1554841284,52
1554841294,57
1554841304,63
1554841314,68
1554841324,73
1554841334,78
1554841344,83
1554841354,88
1554841364,93
1554841374,98
1554841384,103
1554841394,108
1554841404,113
1554841414,118
1554841424,123
1554841434,128
1554841444,133
1554841454,138
1554841464,143
1554841474,148
1554841484,153
1554841494,158
1554841504,163
1554841514,168
1554841524,173
1554841534,178
1554841544,186
