t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554841179,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1554841189,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1554841199,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1554841209,1,637,637.000000,637,0.000000,637.000000,637.000000,637.000000,637.000000,637.000000,637.000000
1554841219,2,637,629.267689,623,6.961589,623.000000,637.000000,637.000000,637.000000,637.000000,637.000000
1554841229,3,637,530.759151,384,120.357918,623.000000,637.000000,637.000000,637.000000,637.000000,637.000000
1554841239,3,637,530.759151,384,120.357918,623.000000,637.000000,637.000000,637.000000,637.000000,637.000000
1554841249,3,637,530.759151,384,120.357918,623.000000,637.000000,637.000000,637.000000,637.000000,637.000000
1554841259,3,637,530.759151,384,120.357918,623.000000,637.000000,637.000000,637.000000,637.000000,637.000000
1554841269,4,637,373.144510,141,212.643832,384.000000,623.000000,637.000000,637.000000,637.000000,637.000000
1554841279,4,637,373.144510,141,212.643832,384.000000,623.000000,637.000000,637.000000,637.000000,637.000000
1554841289,4,637,373.144510,141,212.643832,384.000000,623.000000,637.000000,637.000000,637.000000,637.000000
1554841299,4,637,373.144510,141,212.643832,384.000000,623.000000,637.000000,637.000000,637.000000,637.000000
1554841309,4,637,373.144510,141,212.643832,384.000000,623.000000,637.000000,637.000000,637.000000,637.000000
1554841319,4,637,373.144510,141,212.643832,384.000000,623.000000,637.000000,637.000000,637.000000,637.000000
1554841329,4,637,373.144510,141,212.643832,384.000000,623.000000,637.000000,637.000000,637.000000,637.000000
1554841339,4,637,373.144510,141,212.643832,384.000000,623.000000,637.000000,637.000000,637.000000,637.000000
1554841349,4,637,373.144510,141,212.643832,384.000000,623.000000,637.000000,637.000000,637.000000,637.000000
1554841359,4,637,373.144510,141,212.643832,384.000000,623.000000,637.000000,637.000000,637.000000,637.000000
1554841369,4,637,373.144510,141,212.643832,384.000000,623.000000,637.000000,637.000000,637.000000,637.000000
1554841379,4,637,373.144510,141,212.643832,384.000000,623.000000,637.000000,637.000000,637.000000,637.000000
1554841389,4,637,373.144510,141,212.643832,384.000000,623.000000,637.000000,637.000000,637.000000,637.000000
1554841399,4,637,373.144510,141,212.643832,384.000000,623.000000,637.000000,637.000000,637.000000,637.000000
1554841409,4,637,373.144510,141,212.643832,384.000000,623.000000,637.000000,637.000000,637.000000,637.000000
1554841419,5,637,473.459097,141,110.104015,500.000000,500.000000,623.000000,637.000000,637.000000,637.000000
1554841429,5,637,473.459097,141,110.104015,500.000000,500.000000,623.000000,637.000000,637.000000,637.000000
1554841439,5,637,473.459097,141,110.104015,500.000000,500.000000,623.000000,637.000000,637.000000,637.000000
1554841449,6,777,640.375931,141,168.111225,777.000000,777.000000,777.000000,777.000000,777.000000,777.000000
1554841459,6,777,640.375931,141,168.111225,777.000000,777.000000,777.000000,777.000000,777.000000,777.000000
1554841469,6,777,640.375931,141,168.111225,777.000000,777.000000,777.000000,777.000000,777.000000,777.000000
1554841479,6,777,640.375931,141,168.111225,777.000000,777.000000,777.000000,777.000000,777.000000,777.000000
1554841489,6,777,640.375931,141,168.111225,777.000000,777.000000,777.000000,777.000000,777.000000,777.000000
1554841499,6,777,640.375931,141,168.111225,777.000000,777.000000,777.000000,777.000000,777.000000,777.000000
1554841509,6,777,640.375931,141,168.111225,777.000000,777.000000,777.000000,777.000000,777.000000,777.000000
1554841519,6,777,640.375931,141,168.111225,777.000000,777.000000,777.000000,777.000000,777.000000,777.000000
1554841529,6,777,640.375931,141,168.111225,777.000000,777.000000,777.000000,777.000000,777.000000,777.000000
