t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554841176,3,1383,1026.364016,308,496.754755,1356.000000,1383.000000,1383.000000,1383.000000,1383.000000,1383.000000
1554841186,8,1475,1028.194568,102,510.532124,1363.000000,1380.000000,1475.000000,1475.000000,1475.000000,1475.000000
1554841196,13,1624,900.097709,102,606.679541,1356.000000,1383.000000,1624.000000,1624.000000,1624.000000,1624.000000
1554841206,18,1624,925.387778,102,568.271611,1340.000000,1383.000000,1624.000000,1624.000000,1624.000000,1624.000000
1554841216,23,1624,900.572451,102,545.565376,1150.000000,1380.000000,1550.000000,1624.000000,1624.000000,1624.000000
1554841226,28,1624,810.224261,45,548.177582,772.000000,1356.000000,1550.000000,1624.000000,1624.000000,1624.000000
1554841236,33,1624,818.309567,45,551.035934,865.000000,1347.000000,1550.000000,1624.000000,1624.000000,1624.000000
1554841246,38,1624,783.760325,45,550.919833,772.000000,1347.000000,1545.000000,1550.000000,1624.000000,1624.000000
1554841256,43,1624,746.549456,11,538.037411,707.000000,1319.000000,1545.000000,1550.000000,1624.000000,1624.000000
1554841266,48,1624,716.793023,11,559.053144,646.000000,1333.000000,1545.000000,1550.000000,1624.000000,1624.000000
1554841276,53,1624,739.331885,11,565.222964,707.000000,1332.000000,1550.000000,1615.000000,1615.000000,1624.000000
1554841286,58,1624,766.768789,11,571.797472,707.000000,1333.000000,1545.000000,1615.000000,1615.000000,1624.000000
1554841296,63,1624,813.540571,11,561.280322,922.000000,1332.000000,1545.000000,1615.000000,1615.000000,1624.000000
1554841306,68,1624,746.986133,11,571.547622,707.000000,1319.000000,1537.000000,1615.000000,1615.000000,1624.000000
1554841316,73,1624,724.014499,0,576.869855,646.000000,1319.000000,1529.000000,1615.000000,1615.000000,1624.000000
1554841326,78,1733,769.497648,0,584.611908,707.000000,1332.000000,1615.000000,1733.000000,1733.000000,1733.000000
1554841336,83,1733,777.748003,0,597.047589,646.000000,1351.000000,1683.000000,1733.000000,1733.000000,1733.000000
1554841346,88,1733,795.332872,0,596.454137,772.000000,1340.000000,1683.000000,1733.000000,1733.000000,1733.000000
1554841356,93,1733,861.102074,0,609.000782,1035.000000,1475.000000,1615.000000,1733.000000,1733.000000,1733.000000
1554841366,98,1733,828.884774,0,622.558506,976.000000,1444.000000,1567.000000,1683.000000,1733.000000,1733.000000
1554841376,103,1733,815.791449,0,618.428452,890.000000,1389.000000,1611.000000,1683.000000,1733.000000,1733.000000
1554841386,108,1733,816.692887,0,613.137359,843.000000,1378.000000,1611.000000,1683.000000,1733.000000,1733.000000
1554841396,113,1733,779.329092,0,616.275137,843.000000,1378.000000,1607.000000,1683.000000,1733.000000,1733.000000
1554841406,118,1733,731.304235,0,596.077858,331.000000,1351.000000,1607.000000,1624.000000,1683.000000,1733.000000
1554841416,123,1733,686.811598,0,565.992524,362.000000,1300.000000,1607.000000,1615.000000,1683.000000,1733.000000
1554841426,128,1733,612.596305,0,555.614371,300.000000,1190.000000,1567.000000,1611.000000,1683.000000,1733.000000
1554841436,131,1733,574.526333,0,545.344122,295.000000,1141.000000,1567.000000,1611.000000,1683.000000,1733.000000
1554841446,132,1733,566.940765,0,537.286562,300.000000,1035.000000,1567.000000,1611.000000,1683.000000,1733.000000
1554841456,132,1733,566.940765,0,537.286562,300.000000,1035.000000,1567.000000,1611.000000,1683.000000,1733.000000
1554841466,133,1733,571.734142,0,526.478008,320.000000,1000.000000,1565.000000,1611.000000,1683.000000,1733.000000
1554841476,133,1733,571.734142,0,526.478008,320.000000,1000.000000,1565.000000,1611.000000,1683.000000,1733.000000
1554841486,133,1733,571.734142,0,526.478008,320.000000,1000.000000,1565.000000,1611.000000,1683.000000,1733.000000
1554841496,133,1733,571.734142,0,526.478008,320.000000,1000.000000,1565.000000,1611.000000,1683.000000,1733.000000
1554841506,133,1733,571.734142,0,526.478008,320.000000,1000.000000,1565.000000,1611.000000,1683.000000,1733.000000
1554841516,134,2058,695.553701,0,650.219221,356.000000,1300.000000,2058.000000,2058.000000,2058.000000,2058.000000
1554841526,134,2058,695.553701,0,650.219221,356.000000,1300.000000,2058.000000,2058.000000,2058.000000,2058.000000
1554841536,134,2058,695.553701,0,650.219221,356.000000,1300.000000,2058.000000,2058.000000,2058.000000,2058.000000
