t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554841186,5,983,568.817650,157,315.797765,567.000000,854.000000,983.000000,983.000000,983.000000,983.000000
1554841196,18,1345,370.358422,0,381.210779,254.000000,603.000000,1345.000000,1345.000000,1345.000000,1345.000000
1554841206,26,1516,432.540578,0,434.482173,268.000000,678.000000,1345.000000,1516.000000,1516.000000,1516.000000
1554841216,33,1516,393.836363,0,400.915221,268.000000,603.000000,1345.000000,1516.000000,1516.000000,1516.000000
1554841226,48,1516,341.896380,0,374.804590,227.000000,362.000000,1182.000000,1345.000000,1516.000000,1516.000000
1554841236,67,1516,276.839341,0,339.215614,164.000000,340.000000,1092.000000,1345.000000,1516.000000,1516.000000
1554841246,79,1516,274.866920,0,319.257312,178.000000,361.000000,889.000000,1182.000000,1345.000000,1516.000000
1554841256,87,1516,305.004895,0,346.908437,189.000000,412.000000,1092.000000,1292.000000,1345.000000,1516.000000
1554841266,92,1516,308.785686,0,340.322790,219.000000,412.000000,983.000000,1292.000000,1345.000000,1516.000000
1554841276,99,1516,325.504496,0,363.490308,200.000000,493.000000,1182.000000,1292.000000,1345.000000,1516.000000
1554841286,106,1516,365.012824,0,398.513895,227.000000,579.000000,1189.000000,1292.000000,1345.000000,1516.000000
1554841296,114,1516,342.202052,0,386.781890,189.000000,579.000000,1189.000000,1292.000000,1292.000000,1516.000000
1554841306,118,1516,387.885366,0,431.454652,227.000000,678.000000,1292.000000,1400.000000,1400.000000,1516.000000
1554841316,122,1996,430.271316,0,504.076902,227.000000,793.000000,1400.000000,1996.000000,1996.000000,1996.000000
1554841326,123,1996,420.005713,0,502.337396,200.000000,678.000000,1400.000000,1996.000000,1996.000000,1996.000000
1554841336,124,1996,416.603190,0,496.043641,227.000000,678.000000,1400.000000,1996.000000,1996.000000,1996.000000
1554841346,124,1996,416.603190,0,496.043641,227.000000,678.000000,1400.000000,1996.000000,1996.000000,1996.000000
1554841356,126,1996,391.237547,0,489.209416,178.000000,664.000000,1400.000000,1996.000000,1996.000000,1996.000000
1554841366,126,1996,391.237547,0,489.209416,178.000000,664.000000,1400.000000,1996.000000,1996.000000,1996.000000
1554841376,126,1996,391.237547,0,489.209416,178.000000,664.000000,1400.000000,1996.000000,1996.000000,1996.000000
1554841386,126,1996,391.237547,0,489.209416,178.000000,664.000000,1400.000000,1996.000000,1996.000000,1996.000000
1554841396,127,1996,369.343364,0,481.794246,124.000000,600.000000,1400.000000,1516.000000,1996.000000,1996.000000
1554841406,127,1996,369.343364,0,481.794246,124.000000,600.000000,1400.000000,1516.000000,1996.000000,1996.000000
1554841416,127,1996,369.343364,0,481.794246,124.000000,600.000000,1400.000000,1516.000000,1996.000000,1996.000000
1554841426,127,1996,369.343364,0,481.794246,124.000000,600.000000,1400.000000,1516.000000,1996.000000,1996.000000
1554841436,127,1996,369.343364,0,481.794246,124.000000,600.000000,1400.000000,1516.000000,1996.000000,1996.000000
1554841446,127,1996,369.343364,0,481.794246,124.000000,600.000000,1400.000000,1516.000000,1996.000000,1996.000000
1554841456,127,1996,369.343364,0,481.794246,124.000000,600.000000,1400.000000,1516.000000,1996.000000,1996.000000
1554841466,127,1996,369.343364,0,481.794246,124.000000,600.000000,1400.000000,1516.000000,1996.000000,1996.000000
1554841476,127,1996,369.343364,0,481.794246,124.000000,600.000000,1400.000000,1516.000000,1996.000000,1996.000000
1554841486,127,1996,369.343364,0,481.794246,124.000000,600.000000,1400.000000,1516.000000,1996.000000,1996.000000
1554841496,127,1996,369.343364,0,481.794246,124.000000,600.000000,1400.000000,1516.000000,1996.000000,1996.000000
1554841506,127,1996,369.343364,0,481.794246,124.000000,600.000000,1400.000000,1516.000000,1996.000000,1996.000000
1554841516,127,1996,369.343364,0,481.794246,124.000000,600.000000,1400.000000,1516.000000,1996.000000,1996.000000
1554841526,127,1996,369.343364,0,481.794246,124.000000,600.000000,1400.000000,1516.000000,1996.000000,1996.000000
1554841536,127,1996,369.343364,0,481.794246,124.000000,600.000000,1400.000000,1516.000000,1996.000000,1996.000000
