t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554841171,1,3,3.000000,3,0.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000
1554841181,4,21,7.458339,2,8.065356,3.000000,21.000000,21.000000,21.000000,21.000000,21.000000
1554841191,9,808,249.182700,2,333.507336,21.000000,418.000000,808.000000,808.000000,808.000000,808.000000
1554841201,14,808,183.968671,2,284.441609,21.000000,389.000000,808.000000,808.000000,808.000000,808.000000
1554841211,19,808,202.955822,2,293.952300,21.000000,389.000000,807.000000,808.000000,808.000000,808.000000
1554841221,23,808,189.800510,2,269.208042,21.000000,385.000000,807.000000,808.000000,808.000000,808.000000
1554841231,28,808,146.240772,2,244.997027,18.000000,169.000000,807.000000,808.000000,808.000000,808.000000
1554841241,33,965,162.569433,2,280.092106,18.000000,169.000000,808.000000,965.000000,965.000000,965.000000
1554841251,37,965,136.113640,1,261.306464,18.000000,44.000000,808.000000,965.000000,965.000000,965.000000
1554841261,42,965,113.480400,1,237.663042,18.000000,43.000000,807.000000,965.000000,965.000000,965.000000
1554841271,45,965,162.523329,1,282.422841,25.000000,57.000000,853.000000,965.000000,965.000000,965.000000
1554841281,50,965,162.827070,1,265.842234,25.000000,348.000000,853.000000,965.000000,965.000000,965.000000
1554841291,53,965,198.342781,1,268.390204,38.000000,385.000000,808.000000,853.000000,965.000000,965.000000
1554841301,54,965,226.394353,1,291.720408,40.000000,402.000000,810.000000,853.000000,965.000000,965.000000
1554841311,58,965,244.156384,1,299.856155,40.000000,464.000000,810.000000,853.000000,965.000000,965.000000
1554841321,58,965,244.156384,1,299.856155,40.000000,464.000000,810.000000,853.000000,965.000000,965.000000
1554841331,59,965,274.874269,1,320.730922,42.000000,547.000000,846.000000,853.000000,965.000000,965.000000
1554841341,59,965,274.874269,1,320.730922,42.000000,547.000000,846.000000,853.000000,965.000000,965.000000
1554841351,59,965,274.874269,1,320.730922,42.000000,547.000000,846.000000,853.000000,965.000000,965.000000
1554841361,60,965,254.203016,1,315.970232,38.000000,547.000000,846.000000,853.000000,965.000000,965.000000
1554841371,60,965,254.203016,1,315.970232,38.000000,547.000000,846.000000,853.000000,965.000000,965.000000
1554841381,60,965,254.203016,1,315.970232,38.000000,547.000000,846.000000,853.000000,965.000000,965.000000
1554841391,60,965,254.203016,1,315.970232,38.000000,547.000000,846.000000,853.000000,965.000000,965.000000
1554841401,60,965,254.203016,1,315.970232,38.000000,547.000000,846.000000,853.000000,965.000000,965.000000
1554841411,60,965,254.203016,1,315.970232,38.000000,547.000000,846.000000,853.000000,965.000000,965.000000
1554841421,60,965,254.203016,1,315.970232,38.000000,547.000000,846.000000,853.000000,965.000000,965.000000
1554841431,60,965,254.203016,1,315.970232,38.000000,547.000000,846.000000,853.000000,965.000000,965.000000
1554841441,60,965,254.203016,1,315.970232,38.000000,547.000000,846.000000,853.000000,965.000000,965.000000
1554841451,60,965,254.203016,1,315.970232,38.000000,547.000000,846.000000,853.000000,965.000000,965.000000
1554841461,60,965,254.203016,1,315.970232,38.000000,547.000000,846.000000,853.000000,965.000000,965.000000
1554841471,60,965,254.203016,1,315.970232,38.000000,547.000000,846.000000,853.000000,965.000000,965.000000
1554841481,60,965,254.203016,1,315.970232,38.000000,547.000000,846.000000,853.000000,965.000000,965.000000
1554841491,60,965,254.203016,1,315.970232,38.000000,547.000000,846.000000,853.000000,965.000000,965.000000
1554841501,60,965,254.203016,1,315.970232,38.000000,547.000000,846.000000,853.000000,965.000000,965.000000
1554841511,60,965,254.203016,1,315.970232,38.000000,547.000000,846.000000,853.000000,965.000000,965.000000
1554841521,60,965,254.203016,1,315.970232,38.000000,547.000000,846.000000,853.000000,965.000000,965.000000
1554841531,60,965,254.203016,1,315.970232,38.000000,547.000000,846.000000,853.000000,965.000000,965.000000
