t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554841192,1,222,222.000000,222,0.000000,222.000000,222.000000,222.000000,222.000000,222.000000,222.000000
1554841202,6,926,337.896053,11,320.951744,280.000000,557.000000,926.000000,926.000000,926.000000,926.000000
1554841212,11,1592,408.493482,11,469.289416,272.000000,557.000000,1592.000000,1592.000000,1592.000000,1592.000000
1554841222,16,1592,403.023709,11,400.813575,275.000000,557.000000,1592.000000,1592.000000,1592.000000,1592.000000
1554841232,21,1600,573.707860,11,553.818953,275.000000,926.000000,1600.000000,1600.000000,1600.000000,1600.000000
1554841242,26,1600,655.052660,11,607.286612,278.000000,1356.000000,1592.000000,1600.000000,1600.000000,1600.000000
1554841252,31,1633,661.689111,11,601.498689,278.000000,1356.000000,1600.000000,1633.000000,1633.000000,1633.000000
1554841262,36,1633,663.578662,11,590.458593,278.000000,1309.000000,1600.000000,1633.000000,1633.000000,1633.000000
1554841272,41,1633,649.049149,11,557.091105,366.000000,1227.000000,1600.000000,1633.000000,1633.000000,1633.000000
1554841282,46,1633,588.827651,11,523.577223,289.000000,1022.000000,1592.000000,1633.000000,1633.000000,1633.000000
1554841292,51,1633,510.880261,11,505.436165,279.000000,750.000000,1574.000000,1633.000000,1633.000000,1633.000000
1554841302,56,1633,460.174623,11,473.715674,278.000000,588.000000,1574.000000,1600.000000,1633.000000,1633.000000
1554841312,59,1633,438.573438,11,452.810690,278.000000,398.000000,1521.000000,1600.000000,1633.000000,1633.000000
1554841322,61,1633,408.830170,11,446.861103,273.000000,380.000000,1521.000000,1600.000000,1633.000000,1633.000000
1554841332,62,1633,400.723225,11,438.523985,254.000000,380.000000,1521.000000,1600.000000,1633.000000,1633.000000
1554841342,62,1633,400.723225,11,438.523985,254.000000,380.000000,1521.000000,1600.000000,1633.000000,1633.000000
1554841352,63,1633,417.068109,11,431.769852,273.000000,588.000000,1520.000000,1600.000000,1633.000000,1633.000000
1554841362,63,1633,417.068109,11,431.769852,273.000000,588.000000,1520.000000,1600.000000,1633.000000,1633.000000
1554841372,63,1633,417.068109,11,431.769852,273.000000,588.000000,1520.000000,1600.000000,1633.000000,1633.000000
1554841382,63,1633,417.068109,11,431.769852,273.000000,588.000000,1520.000000,1600.000000,1633.000000,1633.000000
1554841392,63,1633,417.068109,11,431.769852,273.000000,588.000000,1520.000000,1600.000000,1633.000000,1633.000000
1554841402,64,1633,433.656213,11,413.093763,278.000000,586.000000,1520.000000,1592.000000,1633.000000,1633.000000
1554841412,64,1633,433.656213,11,413.093763,278.000000,586.000000,1520.000000,1592.000000,1633.000000,1633.000000
1554841422,64,1633,433.656213,11,413.093763,278.000000,586.000000,1520.000000,1592.000000,1633.000000,1633.000000
1554841432,64,1633,433.656213,11,413.093763,278.000000,586.000000,1520.000000,1592.000000,1633.000000,1633.000000
1554841442,64,1633,433.656213,11,413.093763,278.000000,586.000000,1520.000000,1592.000000,1633.000000,1633.000000
1554841452,64,1633,433.656213,11,413.093763,278.000000,586.000000,1520.000000,1592.000000,1633.000000,1633.000000
1554841462,64,1633,433.656213,11,413.093763,278.000000,586.000000,1520.000000,1592.000000,1633.000000,1633.000000
1554841472,64,1633,433.656213,11,413.093763,278.000000,586.000000,1520.000000,1592.000000,1633.000000,1633.000000
1554841482,64,1633,433.656213,11,413.093763,278.000000,586.000000,1520.000000,1592.000000,1633.000000,1633.000000
1554841492,64,1633,433.656213,11,413.093763,278.000000,586.000000,1520.000000,1592.000000,1633.000000,1633.000000
1554841502,64,1633,433.656213,11,413.093763,278.000000,586.000000,1520.000000,1592.000000,1633.000000,1633.000000
1554841512,64,1633,433.656213,11,413.093763,278.000000,586.000000,1520.000000,1592.000000,1633.000000,1633.000000
1554841522,64,1633,433.656213,11,413.093763,278.000000,586.000000,1520.000000,1592.000000,1633.000000,1633.000000
1554841532,64,1633,433.656213,11,413.093763,278.000000,586.000000,1520.000000,1592.000000,1633.000000,1633.000000
