t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554841182,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1554841192,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1554841202,1,630,630.000000,630,0.000000,630.000000,630.000000,630.000000,630.000000,630.000000,630.000000
1554841212,2,630,306.067829,1,314.358528,1.000000,630.000000,630.000000,630.000000,630.000000,630.000000
1554841222,2,630,306.067829,1,314.358528,1.000000,630.000000,630.000000,630.000000,630.000000,630.000000
1554841232,3,630,227.081577,1,261.263851,110.000000,630.000000,630.000000,630.000000,630.000000,630.000000
1554841242,3,630,227.081577,1,261.263851,110.000000,630.000000,630.000000,630.000000,630.000000,630.000000
1554841252,4,630,142.702035,1,233.116811,3.000000,110.000000,630.000000,630.000000,630.000000,630.000000
1554841262,5,630,227.432031,1,234.641715,110.000000,427.000000,630.000000,630.000000,630.000000,630.000000
1554841272,5,630,227.432031,1,234.641715,110.000000,427.000000,630.000000,630.000000,630.000000,630.000000
1554841282,5,630,227.432031,1,234.641715,110.000000,427.000000,630.000000,630.000000,630.000000,630.000000
1554841292,5,630,227.432031,1,234.641715,110.000000,427.000000,630.000000,630.000000,630.000000,630.000000
1554841302,5,630,227.432031,1,234.641715,110.000000,427.000000,630.000000,630.000000,630.000000,630.000000
1554841312,5,630,227.432031,1,234.641715,110.000000,427.000000,630.000000,630.000000,630.000000,630.000000
1554841322,5,630,227.432031,1,234.641715,110.000000,427.000000,630.000000,630.000000,630.000000,630.000000
1554841332,5,630,227.432031,1,234.641715,110.000000,427.000000,630.000000,630.000000,630.000000,630.000000
1554841342,5,630,227.432031,1,234.641715,110.000000,427.000000,630.000000,630.000000,630.000000,630.000000
1554841352,5,630,227.432031,1,234.641715,110.000000,427.000000,630.000000,630.000000,630.000000,630.000000
1554841362,5,630,227.432031,1,234.641715,110.000000,427.000000,630.000000,630.000000,630.000000,630.000000
1554841372,5,630,227.432031,1,234.641715,110.000000,427.000000,630.000000,630.000000,630.000000,630.000000
1554841382,5,630,227.432031,1,234.641715,110.000000,427.000000,630.000000,630.000000,630.000000,630.000000
1554841392,5,630,227.432031,1,234.641715,110.000000,427.000000,630.000000,630.000000,630.000000,630.000000
1554841402,5,630,227.432031,1,234.641715,110.000000,427.000000,630.000000,630.000000,630.000000,630.000000
1554841412,5,630,227.432031,1,234.641715,110.000000,427.000000,630.000000,630.000000,630.000000,630.000000
1554841422,5,630,227.432031,1,234.641715,110.000000,427.000000,630.000000,630.000000,630.000000,630.000000
1554841432,5,630,227.432031,1,234.641715,110.000000,427.000000,630.000000,630.000000,630.000000,630.000000
1554841442,5,630,227.432031,1,234.641715,110.000000,427.000000,630.000000,630.000000,630.000000,630.000000
1554841452,5,630,227.432031,1,234.641715,110.000000,427.000000,630.000000,630.000000,630.000000,630.000000
1554841462,5,630,227.432031,1,234.641715,110.000000,427.000000,630.000000,630.000000,630.000000,630.000000
1554841472,5,630,227.432031,1,234.641715,110.000000,427.000000,630.000000,630.000000,630.000000,630.000000
1554841482,5,630,227.432031,1,234.641715,110.000000,427.000000,630.000000,630.000000,630.000000,630.000000
1554841492,5,630,227.432031,1,234.641715,110.000000,427.000000,630.000000,630.000000,630.000000,630.000000
1554841502,5,630,227.432031,1,234.641715,110.000000,427.000000,630.000000,630.000000,630.000000,630.000000
1554841512,5,630,227.432031,1,234.641715,110.000000,427.000000,630.000000,630.000000,630.000000,630.000000
1554841522,5,630,227.432031,1,234.641715,110.000000,427.000000,630.000000,630.000000,630.000000,630.000000
1554841532,5,630,227.432031,1,234.641715,110.000000,427.000000,630.000000,630.000000,630.000000,630.000000
