t,count
1554841182,3
1554841192,10
1554841202,15
1554841212,21
1554841222,26
1554841232,32
1554841242,39
1554841252,44
1554841262,49
1554841272,54
1554841282,61
1554841292,66
1554841302,74
1554841312,80
1554841322,86
1554841332,91
1554841342,96
1554841352,102
1554841362,107
1554841372,114
1554841382,120
1554841392,127
1554841402,132
1554841412,137
1554841422,142
1554841432,149
1554841442,157
1554841452,164
1554841462,171
1554841472,177
1554841482,184
1554841492,192
1554841502,200
1554841512,208
1554841522,215
1554841532,221
