t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554841187,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1554841197,5,1567,931.031003,101,674.788626,1347.000000,1545.000000,1567.000000,1567.000000,1567.000000,1567.000000
1554841207,10,1574,891.468701,90,624.615306,1034.000000,1545.000000,1574.000000,1574.000000,1574.000000,1574.000000
1554841217,15,1574,937.601749,90,565.332321,1311.000000,1347.000000,1574.000000,1574.000000,1574.000000,1574.000000
1554841227,20,1574,954.210868,90,583.328361,1322.000000,1414.000000,1567.000000,1574.000000,1574.000000,1574.000000
1554841237,25,1574,904.940525,90,565.638667,1295.000000,1395.000000,1567.000000,1574.000000,1574.000000,1574.000000
1554841247,30,1574,843.353921,90,561.448398,1034.000000,1379.000000,1567.000000,1574.000000,1574.000000,1574.000000
1554841257,35,1574,757.137294,16,566.196532,393.000000,1367.000000,1567.000000,1567.000000,1574.000000,1574.000000
1554841267,40,1574,744.701465,0,535.587341,707.000000,1345.000000,1545.000000,1567.000000,1574.000000,1574.000000
1554841277,45,1574,719.653069,0,520.143366,707.000000,1295.000000,1545.000000,1567.000000,1574.000000,1574.000000
1554841287,50,1574,720.969898,0,516.860449,633.000000,1286.000000,1533.000000,1567.000000,1574.000000,1574.000000
1554841297,55,1574,658.544575,0,507.842559,529.000000,1089.000000,1496.000000,1567.000000,1567.000000,1574.000000
1554841307,60,1574,602.843308,0,480.808951,394.000000,1034.000000,1496.000000,1567.000000,1567.000000,1574.000000
1554841317,65,1574,573.922719,0,495.256322,367.000000,971.000000,1496.000000,1545.000000,1567.000000,1574.000000
1554841327,70,1574,538.699870,0,472.586591,372.000000,800.000000,1456.000000,1545.000000,1567.000000,1574.000000
1554841337,75,1574,500.859295,0,461.350545,304.000000,775.000000,1456.000000,1533.000000,1567.000000,1574.000000
1554841347,80,1574,515.168643,0,463.629333,349.000000,939.000000,1456.000000,1496.000000,1567.000000,1574.000000
1554841357,85,1574,557.860423,0,465.131391,372.000000,969.000000,1395.000000,1496.000000,1545.000000,1574.000000
1554841367,90,1574,576.147809,0,462.293319,394.000000,990.000000,1379.000000,1496.000000,1545.000000,1574.000000
1554841377,95,1574,590.943894,0,463.989878,404.000000,1040.000000,1367.000000,1496.000000,1533.000000,1574.000000
1554841387,100,1574,584.361880,0,440.570278,398.000000,990.000000,1322.000000,1456.000000,1533.000000,1574.000000
1554841397,105,1574,527.413243,0,438.261452,361.000000,967.000000,1306.000000,1456.000000,1496.000000,1574.000000
1554841407,110,1574,497.827082,0,423.561382,336.000000,889.000000,1295.000000,1456.000000,1496.000000,1574.000000
1554841417,113,1574,461.402575,0,420.051292,304.000000,767.000000,1286.000000,1414.000000,1496.000000,1574.000000
1554841427,114,1574,460.039117,0,412.967216,325.000000,767.000000,1224.000000,1395.000000,1496.000000,1574.000000
1554841437,115,1574,446.257789,0,410.835646,304.000000,767.000000,1224.000000,1395.000000,1496.000000,1574.000000
1554841447,115,1574,446.257789,0,410.835646,304.000000,767.000000,1224.000000,1395.000000,1496.000000,1574.000000
1554841457,115,1574,446.257789,0,410.835646,304.000000,767.000000,1224.000000,1395.000000,1496.000000,1574.000000
1554841467,116,1574,475.567302,0,418.269359,336.000000,889.000000,1224.000000,1379.000000,1496.000000,1574.000000
1554841477,116,1574,475.567302,0,418.269359,336.000000,889.000000,1224.000000,1379.000000,1496.000000,1574.000000
1554841487,116,1574,475.567302,0,418.269359,336.000000,889.000000,1224.000000,1379.000000,1496.000000,1574.000000
1554841497,116,1574,475.567302,0,418.269359,336.000000,889.000000,1224.000000,1379.000000,1496.000000,1574.000000
1554841507,116,1574,475.567302,0,418.269359,336.000000,889.000000,1224.000000,1379.000000,1496.000000,1574.000000
1554841517,116,1574,475.567302,0,418.269359,336.000000,889.000000,1224.000000,1379.000000,1496.000000,1574.000000
1554841527,116,1574,475.567302,0,418.269359,336.000000,889.000000,1224.000000,1379.000000,1496.000000,1574.000000
1554841537,116,1574,475.567302,0,418.269359,336.000000,889.000000,1224.000000,1379.000000,1496.000000,1574.000000
