t,count
1554840139,1
1554840149,11
1554840159,21
1554840169,30
1554840179,40
1554840189,50
1554840199,59
1554840209,69
1554840219,79
1554840229,89
1554840239,99
1554840249,109
1554840259,119
1554840269,129
1554840279,139
1554840289,149
1554840299,158
1554840309,168
1554840319,178
1554840329,188
1554840339,198
1554840349,208
1554840359,218
1554840369,228
1554840379,238
1554840389,248
1554840399,257
1554840409,267
1554840419,277
1554840429,287
1554840439,297
1554840449,307
1554840459,317
1554840469,327
1554840479,337
1554840489,347
