t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554840139,2,113,86.610029,61,25.997075,61.000000,113.000000,113.000000,113.000000,113.000000,113.000000
1554840149,7,113,43.256626,24,29.404085,28.000000,61.000000,113.000000,113.000000,113.000000,113.000000
1554840159,12,113,37.666837,23,23.431719,27.000000,38.000000,113.000000,113.000000,113.000000,113.000000
1554840169,17,113,41.771998,20,21.800497,34.000000,54.000000,68.000000,113.000000,113.000000,113.000000
1554840179,22,113,38.464622,15,20.963903,34.000000,51.000000,68.000000,113.000000,113.000000,113.000000
1554840189,27,113,38.211901,15,19.169424,38.000000,48.000000,68.000000,113.000000,113.000000,113.000000
1554840199,32,113,40.112297,11,22.565092,34.000000,50.000000,88.000000,88.000000,113.000000,113.000000
1554840209,37,113,40.208722,11,21.508653,31.000000,54.000000,88.000000,88.000000,113.000000,113.000000
1554840219,42,113,41.039615,11,22.189712,34.000000,51.000000,88.000000,90.000000,113.000000,113.000000
1554840229,47,396,55.055577,11,68.005342,40.000000,55.000000,90.000000,396.000000,396.000000,396.000000
1554840239,52,396,55.894984,11,62.102696,46.000000,60.000000,90.000000,396.000000,396.000000,396.000000
1554840249,57,396,54.991063,11,57.868571,47.000000,62.000000,91.000000,396.000000,396.000000,396.000000
1554840259,62,396,55.632443,11,53.768394,48.000000,62.000000,108.000000,113.000000,396.000000,396.000000
1554840269,67,572,76.593651,11,106.907604,48.000000,70.000000,396.000000,572.000000,572.000000,572.000000
1554840279,72,572,79.106393,11,108.664636,48.000000,70.000000,328.000000,572.000000,572.000000,572.000000
1554840289,77,572,72.111729,11,101.362873,46.000000,61.000000,328.000000,572.000000,572.000000,572.000000
1554840299,82,572,77.565609,11,99.089992,46.000000,78.000000,328.000000,572.000000,572.000000,572.000000
1554840309,87,572,105.062729,11,131.629222,48.000000,92.000000,396.000000,538.000000,572.000000,572.000000
1554840319,90,752,143.296721,11,196.042284,54.000000,125.000000,670.000000,752.000000,752.000000,752.000000
1554840329,94,900,172.282938,11,232.273614,56.000000,246.000000,752.000000,900.000000,900.000000,900.000000
1554840339,99,965,252.919765,11,289.475977,86.000000,514.000000,900.000000,965.000000,965.000000,965.000000
1554840349,101,965,278.808298,11,302.390078,91.000000,538.000000,900.000000,965.000000,965.000000,965.000000
1554840359,102,965,297.214335,11,311.113225,92.000000,580.000000,900.000000,965.000000,965.000000,965.000000
1554840369,102,965,297.214335,11,311.113225,92.000000,580.000000,900.000000,965.000000,965.000000,965.000000
1554840379,102,965,297.214335,11,311.113225,92.000000,580.000000,900.000000,965.000000,965.000000,965.000000
1554840389,102,965,297.214335,11,311.113225,92.000000,580.000000,900.000000,965.000000,965.000000,965.000000
1554840399,102,965,297.214335,11,311.113225,92.000000,580.000000,900.000000,965.000000,965.000000,965.000000
1554840409,102,965,297.214335,11,311.113225,92.000000,580.000000,900.000000,965.000000,965.000000,965.000000
1554840419,102,965,297.214335,11,311.113225,92.000000,580.000000,900.000000,965.000000,965.000000,965.000000
1554840429,102,965,297.214335,11,311.113225,92.000000,580.000000,900.000000,965.000000,965.000000,965.000000
1554840439,103,968,369.085431,11,359.813007,173.000000,731.000000,968.000000,968.000000,968.000000,968.000000
1554840449,103,968,369.085431,11,359.813007,173.000000,731.000000,968.000000,968.000000,968.000000,968.000000
1554840459,103,968,369.085431,11,359.813007,173.000000,731.000000,968.000000,968.000000,968.000000,968.000000
1554840469,103,968,369.085431,11,359.813007,173.000000,731.000000,968.000000,968.000000,968.000000,968.000000
1554840479,103,968,369.085431,11,359.813007,173.000000,731.000000,968.000000,968.000000,968.000000,968.000000
1554840489,103,968,369.085431,11,359.813007,173.000000,731.000000,968.000000,968.000000,968.000000,968.000000
