t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554840160,3,1250,496.626863,43,524.832255,234.000000,1250.000000,1250.000000,1250.000000,1250.000000,1250.000000
1554840170,8,1441,961.577390,43,493.423861,972.000000,1375.000000,1441.000000,1441.000000,1441.000000,1441.000000
1554840180,13,1441,802.797637,43,500.120805,957.000000,1250.000000,1441.000000,1441.000000,1441.000000,1441.000000
1554840190,18,1473,694.846600,43,522.406593,472.000000,1250.000000,1473.000000,1473.000000,1473.000000,1473.000000
1554840200,23,1473,661.841291,43,496.244794,480.000000,1190.000000,1441.000000,1473.000000,1473.000000,1473.000000
1554840210,28,1473,565.419193,43,465.123962,300.000000,957.000000,1441.000000,1473.000000,1473.000000,1473.000000
1554840220,33,1473,497.871164,43,431.083995,300.000000,561.000000,1375.000000,1473.000000,1473.000000,1473.000000
1554840230,38,1473,480.976192,16,421.795317,300.000000,561.000000,1375.000000,1473.000000,1473.000000,1473.000000
1554840240,43,1473,514.615707,16,438.501443,316.000000,916.000000,1357.000000,1441.000000,1473.000000,1473.000000
1554840250,48,1473,540.142303,16,460.569624,303.000000,1072.000000,1357.000000,1441.000000,1473.000000,1473.000000
1554840260,53,1473,641.100700,16,507.984901,369.000000,1222.000000,1441.000000,1466.000000,1473.000000,1473.000000
1554840270,58,1473,634.153438,16,498.737538,413.000000,1211.000000,1375.000000,1466.000000,1466.000000,1473.000000
1554840280,63,1473,657.126091,16,502.866141,530.000000,1222.000000,1357.000000,1466.000000,1466.000000,1473.000000
1554840290,68,1473,718.611674,16,506.768058,575.000000,1334.000000,1357.000000,1466.000000,1466.000000,1473.000000
1554840300,73,1623,695.886046,11,533.811505,555.000000,1334.000000,1466.000000,1623.000000,1623.000000,1623.000000
1554840310,78,1623,643.934015,11,518.805231,530.000000,1190.000000,1375.000000,1623.000000,1623.000000,1623.000000
1554840320,83,1623,614.322950,11,501.584514,480.000000,1072.000000,1357.000000,1623.000000,1623.000000,1623.000000
1554840330,88,1623,580.158856,11,508.563060,303.000000,1056.000000,1371.000000,1473.000000,1623.000000,1623.000000
1554840340,93,1623,573.399319,0,516.466557,291.000000,1167.000000,1371.000000,1466.000000,1623.000000,1623.000000
1554840350,98,1623,586.381591,0,516.111717,303.000000,1100.000000,1357.000000,1466.000000,1623.000000,1623.000000
1554840360,100,1623,549.096783,0,519.160067,285.000000,1056.000000,1357.000000,1466.000000,1623.000000,1623.000000
1554840370,101,3565,657.447411,0,758.207871,291.000000,1156.000000,1473.000000,3565.000000,3565.000000,3565.000000
1554840380,101,3565,657.447411,0,758.207871,291.000000,1156.000000,1473.000000,3565.000000,3565.000000,3565.000000
1554840390,102,3733,803.825623,0,988.071666,369.000000,1167.000000,3565.000000,3733.000000,3733.000000,3733.000000
1554840400,102,3733,803.825623,0,988.071666,369.000000,1167.000000,3565.000000,3733.000000,3733.000000,3733.000000
1554840410,102,3733,803.825623,0,988.071666,369.000000,1167.000000,3565.000000,3733.000000,3733.000000,3733.000000
1554840420,102,3733,803.825623,0,988.071666,369.000000,1167.000000,3565.000000,3733.000000,3733.000000,3733.000000
1554840430,102,3733,803.825623,0,988.071666,369.000000,1167.000000,3565.000000,3733.000000,3733.000000,3733.000000
1554840440,102,3733,803.825623,0,988.071666,369.000000,1167.000000,3565.000000,3733.000000,3733.000000,3733.000000
1554840450,102,3733,803.825623,0,988.071666,369.000000,1167.000000,3565.000000,3733.000000,3733.000000,3733.000000
1554840460,102,3733,803.825623,0,988.071666,369.000000,1167.000000,3565.000000,3733.000000,3733.000000,3733.000000
1554840470,102,3733,803.825623,0,988.071666,369.000000,1167.000000,3565.000000,3733.000000,3733.000000,3733.000000
1554840480,102,3733,803.825623,0,988.071666,369.000000,1167.000000,3565.000000,3733.000000,3733.000000,3733.000000
1554840490,102,3733,803.825623,0,988.071666,369.000000,1167.000000,3565.000000,3733.000000,3733.000000,3733.000000
