t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554840140,1,1474,1474.000000,1474,0.000000,1474.000000,1474.000000,1474.000000,1474.000000,1474.000000,1474.000000
1554840150,6,1496,804.165299,111,607.834048,412.000000,1474.000000,1496.000000,1496.000000,1496.000000,1496.000000
1554840160,11,1496,678.193679,70,583.686494,412.000000,1474.000000,1496.000000,1496.000000,1496.000000,1496.000000
1554840170,16,1496,669.968209,70,527.740381,431.000000,1238.000000,1496.000000,1496.000000,1496.000000,1496.000000
1554840180,21,1496,623.817457,70,512.569764,344.000000,1238.000000,1479.000000,1496.000000,1496.000000,1496.000000
1554840190,26,1496,611.272148,70,493.875009,344.000000,1238.000000,1479.000000,1496.000000,1496.000000,1496.000000
1554840200,31,1496,552.754553,60,491.638260,309.000000,861.000000,1474.000000,1496.000000,1496.000000,1496.000000
1554840210,36,1496,510.621878,0,466.421924,308.000000,855.000000,1474.000000,1479.000000,1496.000000,1496.000000
1554840220,41,1496,445.623649,0,442.130165,294.000000,478.000000,1459.000000,1479.000000,1496.000000,1496.000000
1554840230,46,1496,480.806093,0,466.582838,284.000000,855.000000,1459.000000,1479.000000,1496.000000,1496.000000
1554840240,51,1496,432.175872,0,436.455238,269.000000,431.000000,1376.000000,1474.000000,1479.000000,1496.000000
1554840250,56,1496,427.515004,0,443.395619,268.000000,412.000000,1376.000000,1474.000000,1479.000000,1496.000000
1554840260,61,1496,395.420704,0,413.557879,252.000000,386.000000,1376.000000,1459.000000,1479.000000,1496.000000
1554840270,66,1496,387.193548,0,390.593235,265.000000,404.000000,1351.000000,1459.000000,1479.000000,1496.000000
1554840280,71,1496,381.856883,0,366.191845,265.000000,478.000000,1350.000000,1459.000000,1474.000000,1496.000000
1554840290,76,1500,441.644960,0,410.035197,289.000000,536.000000,1376.000000,1500.000000,1500.000000,1500.000000
1554840300,81,1500,477.838914,0,426.044842,300.000000,610.000000,1376.000000,1500.000000,1500.000000,1500.000000
1554840310,86,1500,434.781516,0,407.189079,282.000000,562.000000,1352.000000,1500.000000,1500.000000,1500.000000
1554840320,91,1500,455.552840,0,401.109244,300.000000,605.000000,1352.000000,1496.000000,1500.000000,1500.000000
1554840330,96,1500,454.372618,0,401.201248,289.000000,610.000000,1351.000000,1479.000000,1500.000000,1500.000000
1554840340,101,1500,488.536638,0,406.487607,314.000000,621.000000,1322.000000,1459.000000,1500.000000,1500.000000
1554840350,106,1500,460.409956,0,394.001745,289.000000,621.000000,1204.000000,1376.000000,1500.000000,1500.000000
1554840360,111,1500,462.447908,0,394.297020,289.000000,761.000000,1138.000000,1352.000000,1500.000000,1500.000000
1554840370,116,1500,476.872942,0,403.947006,289.000000,630.000000,1352.000000,1406.000000,1479.000000,1500.000000
1554840380,121,1500,461.787811,0,381.746230,307.000000,616.000000,1351.000000,1406.000000,1474.000000,1500.000000
1554840390,124,1500,434.998898,0,374.789427,283.000000,610.000000,1322.000000,1406.000000,1459.000000,1500.000000
1554840400,126,1500,421.000637,0,367.788570,283.000000,605.000000,1204.000000,1406.000000,1406.000000,1500.000000
1554840410,127,1500,412.723766,0,363.958294,282.000000,577.000000,1169.000000,1406.000000,1406.000000,1500.000000
1554840420,128,1500,421.785547,0,359.068535,288.000000,616.000000,1138.000000,1406.000000,1406.000000,1500.000000
1554840430,128,1500,421.785547,0,359.068535,288.000000,616.000000,1138.000000,1406.000000,1406.000000,1500.000000
1554840440,128,1500,421.785547,0,359.068535,288.000000,616.000000,1138.000000,1406.000000,1406.000000,1500.000000
1554840450,128,1500,421.785547,0,359.068535,288.000000,616.000000,1138.000000,1406.000000,1406.000000,1500.000000
1554840460,128,1500,421.785547,0,359.068535,288.000000,616.000000,1138.000000,1406.000000,1406.000000,1500.000000
1554840470,129,1671,523.253126,0,484.682308,314.000000,633.000000,1671.000000,1671.000000,1671.000000,1671.000000
1554840480,129,1671,523.253126,0,484.682308,314.000000,633.000000,1671.000000,1671.000000,1671.000000,1671.000000
1554840490,129,1671,523.253126,0,484.682308,314.000000,633.000000,1671.000000,1671.000000,1671.000000,1671.000000
