t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1554840140,15,5.273870,0.000000,0.000000,0.000000,events/second
1554840150,54,4.209113,4.936036,4.986777,4.995568,events/second
1554840160,85,3.720453,4.579969,4.908639,4.969110,events/second
1554840170,138,4.205312,4.657885,4.914830,4.970547,events/second
1554840180,176,4.111380,4.562650,4.887707,4.960882,events/second
1554840190,215,4.070514,4.487150,4.861692,4.951348,events/second
1554840200,276,4.394571,4.600421,4.872947,4.954114,events/second
1554840210,324,4.450527,4.572858,4.860201,4.949038,events/second
1554840220,382,4.613377,4.862956,4.913714,4.966148,events/second
1554840230,425,4.579737,4.766294,4.890534,4.957707,events/second
1554840240,453,4.406269,4.653138,4.864153,4.948177,events/second
1554840250,498,4.414706,4.489535,4.820005,4.932240,events/second
1554840260,527,4.291296,4.388793,4.786783,4.919754,events/second
1554840270,540,4.065350,3.927402,4.675642,4.880849,events/second
1554840280,597,4.180563,3.990356,4.663573,4.874459,events/second
1554840290,633,4.142298,3.992485,4.644469,4.865831,events/second
1554840300,677,4.158326,4.032014,4.630225,4.858510,events/second
1554840310,724,4.189700,4.062917,4.616339,4.851259,events/second
1554840320,768,4.201344,4.104437,4.608810,4.846223,events/second
1554840330,818,4.242609,4.330197,4.641141,4.854534,events/second
1554840340,842,4.151348,4.039639,4.570536,4.828471,events/second
1554840350,897,4.215178,4.130779,4.571720,4.825971,events/second
1554840360,914,4.102015,3.993650,4.529619,4.809064,events/second
1554840370,954,4.097578,3.848778,4.479800,4.789111,events/second
1554840380,981,4.040378,3.859208,4.463524,4.780330,events/second
1554840390,991,3.919540,3.405554,4.346725,4.737457,events/second
1554840400,1000,3.804982,3.036258,4.237006,4.696160,events/second
1554840410,1010,3.702255,2.707664,4.127579,4.654211,events/second
1554840420,1020,3.606742,2.445506,4.025044,4.613833,events/second
1554840430,1029,3.514259,2.207604,3.922566,4.572794,events/second
1554840440,1039,3.431235,2.022214,3.826753,4.533316,events/second
1554840450,1049,3.353340,1.865286,3.734081,4.494274,events/second
1554840460,1057,3.274070,1.701745,3.637890,4.453454,events/second
1554840470,1067,3.206110,1.594014,3.551410,4.415294,events/second
1554840480,1076,3.138778,1.486831,3.464459,4.376449,events/second
1554840490,1084,3.072434,1.380111,3.377053,4.336924,events/second
