t,count
1554840147,4
1554840157,10
1554840167,15
1554840177,21
1554840187,26
1554840197,31
1554840207,37
1554840217,43
1554840227,48
1554840237,56
1554840247,61
1554840257,66
1554840267,75
1554840277,80
1554840287,86
1554840297,91
1554840307,96
1554840317,101
1554840327,106
1554840337,114
1554840347,119
1554840357,126
1554840367,131
1554840377,136
1554840387,142
1554840397,151
1554840407,159
1554840417,166
1554840427,175
1554840437,185
1554840447,195
1554840457,204
1554840467,214
1554840477,224
1554840487,234
