t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554840135,14,1320,866.922349,440,257.117225,880.000000,1142.000000,1320.000000,1320.000000,1320.000000,1320.000000
1554840145,54,1765,491.449567,89,478.495586,267.000000,791.000000,1671.000000,1760.000000,1765.000000,1765.000000
1554840155,87,1765,404.610108,89,423.774531,267.000000,440.000000,1671.000000,1765.000000,1765.000000,1765.000000
1554840165,137,1765,405.059604,89,333.139186,351.000000,440.000000,1142.000000,1671.000000,1765.000000,1765.000000
1554840175,172,1765,381.429474,89,327.114967,351.000000,440.000000,880.000000,1671.000000,1765.000000,1765.000000
1554840185,199,1765,358.466368,89,311.570019,351.000000,440.000000,791.000000,1320.000000,1760.000000,1765.000000
1554840195,250,1765,379.512824,89,296.535408,351.000000,440.000000,791.000000,1142.000000,1671.000000,1765.000000
1554840205,289,1765,412.053282,89,305.559997,351.000000,529.000000,1053.000000,1053.000000,1671.000000,1765.000000
1554840215,334,1765,381.401093,89,297.338333,351.000000,440.000000,1053.000000,1053.000000,1231.000000,1765.000000
1554840225,372,1765,353.929375,89,282.520842,351.000000,440.000000,880.000000,1053.000000,1142.000000,1765.000000
1554840235,394,1765,347.918227,89,272.820811,351.000000,440.000000,791.000000,1053.000000,1142.000000,1765.000000
1554840245,438,1765,318.537161,89,260.886124,351.000000,440.000000,791.000000,1053.000000,1053.000000,1765.000000
1554840255,467,1765,321.653429,89,244.951703,351.000000,440.000000,702.000000,1053.000000,1053.000000,1765.000000
1554840265,474,1765,313.432711,89,244.389465,351.000000,440.000000,702.000000,1053.000000,1053.000000,1765.000000
1554840275,532,1765,318.384169,89,244.422698,351.000000,440.000000,791.000000,1053.000000,1053.000000,1765.000000
1554840285,557,1765,323.644345,89,255.409712,351.000000,440.000000,880.000000,880.000000,1053.000000,1765.000000
1554840295,594,1765,303.622878,89,247.127479,351.000000,440.000000,791.000000,880.000000,1053.000000,1760.000000
1554840305,640,1765,331.844777,89,238.075368,351.000000,440.000000,791.000000,880.000000,1053.000000,1760.000000
1554840315,681,1765,335.037628,89,230.317738,351.000000,440.000000,702.000000,880.000000,1053.000000,1671.000000
1554840325,720,1765,308.075958,89,225.787836,351.000000,440.000000,702.000000,880.000000,880.000000,1671.000000
1554840335,734,1765,306.516249,89,220.631161,351.000000,440.000000,702.000000,880.000000,880.000000,1671.000000
1554840345,784,1765,316.408545,89,226.156581,351.000000,440.000000,791.000000,791.000000,880.000000,1320.000000
1554840355,804,1765,313.775222,89,218.895440,351.000000,440.000000,791.000000,791.000000,880.000000,1320.000000
1554840365,851,1765,293.713436,89,210.906767,351.000000,440.000000,702.000000,791.000000,880.000000,1231.000000
1554840375,901,1765,308.026921,89,217.190785,351.000000,440.000000,702.000000,791.000000,880.000000,1142.000000
1554840385,925,1765,302.705326,89,210.403615,351.000000,440.000000,702.000000,791.000000,791.000000,1053.000000
1554840395,938,1765,303.537920,89,205.974454,351.000000,440.000000,702.000000,791.000000,791.000000,1053.000000
1554840405,949,1765,306.047508,89,200.736178,351.000000,440.000000,702.000000,791.000000,791.000000,1053.000000
1554840415,959,1765,300.072346,89,199.156965,351.000000,440.000000,702.000000,791.000000,791.000000,1053.000000
1554840425,961,1765,297.498285,89,199.289943,351.000000,440.000000,702.000000,791.000000,791.000000,1053.000000
1554840435,961,1765,297.498285,89,199.289943,351.000000,440.000000,702.000000,791.000000,791.000000,1053.000000
1554840445,961,1765,297.498285,89,199.289943,351.000000,440.000000,702.000000,791.000000,791.000000,1053.000000
1554840455,962,1765,295.623477,89,199.365824,351.000000,440.000000,702.000000,791.000000,791.000000,1053.000000
1554840465,962,1765,295.623477,89,199.365824,351.000000,440.000000,702.000000,791.000000,791.000000,1053.000000
1554840475,962,1765,295.623477,89,199.365824,351.000000,440.000000,702.000000,791.000000,791.000000,1053.000000
1554840485,962,1765,295.623477,89,199.365824,351.000000,440.000000,702.000000,791.000000,791.000000,1053.000000
