t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554840135,3,236,83.761585,11,105.247843,11.000000,236.000000,236.000000,236.000000,236.000000,236.000000
1554840145,8,1289,387.354061,11,508.968203,236.000000,1197.000000,1289.000000,1289.000000,1289.000000,1289.000000
1554840155,13,1592,430.781852,11,526.110696,236.000000,268.000000,1592.000000,1592.000000,1592.000000,1592.000000
1554840165,18,1633,543.268104,11,564.718649,267.000000,1197.000000,1633.000000,1633.000000,1633.000000,1633.000000
1554840175,23,1633,658.379344,0,646.122985,268.000000,1522.000000,1592.000000,1633.000000,1633.000000,1633.000000
1554840185,28,1633,646.066669,0,628.036234,267.000000,1289.000000,1594.000000,1633.000000,1633.000000,1633.000000
1554840195,33,1666,781.013549,0,662.608357,350.000000,1522.000000,1633.000000,1666.000000,1666.000000,1666.000000
1554840205,38,1755,726.600211,0,665.776007,278.000000,1522.000000,1666.000000,1755.000000,1755.000000,1755.000000
1554840215,43,1755,739.185761,0,645.839562,278.000000,1356.000000,1666.000000,1755.000000,1755.000000,1755.000000
1554840225,48,1755,720.982009,0,647.339822,268.000000,1439.000000,1666.000000,1755.000000,1755.000000,1755.000000
1554840235,53,1755,619.136049,0,630.129861,267.000000,1337.000000,1633.000000,1755.000000,1755.000000,1755.000000
1554840245,58,1755,626.443050,0,592.300301,278.000000,1238.000000,1617.000000,1666.000000,1755.000000,1755.000000
1554840255,63,1755,672.458783,0,576.126192,344.000000,1238.000000,1617.000000,1666.000000,1755.000000,1755.000000
1554840265,68,1755,752.133518,0,559.411974,938.000000,1244.000000,1594.000000,1666.000000,1755.000000,1755.000000
1554840275,73,1755,756.634482,0,538.409979,843.000000,1238.000000,1590.000000,1666.000000,1755.000000,1755.000000
1554840285,78,1755,775.480385,0,508.541665,938.000000,1197.000000,1589.000000,1633.000000,1666.000000,1755.000000
1554840295,83,1755,732.348717,0,513.160991,826.000000,1179.000000,1522.000000,1617.000000,1666.000000,1755.000000
1554840305,88,1755,653.322158,0,512.183878,426.000000,1153.000000,1472.000000,1617.000000,1666.000000,1755.000000
1554840315,93,1755,575.987655,0,507.692992,300.000000,1093.000000,1452.000000,1594.000000,1666.000000,1755.000000
1554840325,98,1755,510.155703,0,496.569521,268.000000,1000.000000,1424.000000,1592.000000,1633.000000,1755.000000
1554840335,103,1755,454.609121,0,478.992396,267.000000,854.000000,1424.000000,1590.000000,1633.000000,1755.000000
1554840345,107,1755,438.237737,0,452.797394,268.000000,449.000000,1356.000000,1589.000000,1617.000000,1755.000000
1554840355,109,1755,429.476956,0,439.934329,268.000000,449.000000,1337.000000,1522.000000,1617.000000,1755.000000
1554840365,110,1755,417.472968,0,435.395938,267.000000,449.000000,1337.000000,1522.000000,1617.000000,1755.000000
1554840375,110,1755,417.472968,0,435.395938,267.000000,449.000000,1337.000000,1522.000000,1617.000000,1755.000000
1554840385,110,1755,417.472968,0,435.395938,267.000000,449.000000,1337.000000,1522.000000,1617.000000,1755.000000
1554840395,110,1755,417.472968,0,435.395938,267.000000,449.000000,1337.000000,1522.000000,1617.000000,1755.000000
1554840405,110,1755,417.472968,0,435.395938,267.000000,449.000000,1337.000000,1522.000000,1617.000000,1755.000000
1554840415,110,1755,417.472968,0,435.395938,267.000000,449.000000,1337.000000,1522.000000,1617.000000,1755.000000
1554840425,110,1755,417.472968,0,435.395938,267.000000,449.000000,1337.000000,1522.000000,1617.000000,1755.000000
1554840435,111,1755,445.772775,0,423.374720,273.000000,716.000000,1289.000000,1472.000000,1594.000000,1755.000000
1554840445,111,1755,445.772775,0,423.374720,273.000000,716.000000,1289.000000,1472.000000,1594.000000,1755.000000
1554840455,111,1755,445.772775,0,423.374720,273.000000,716.000000,1289.000000,1472.000000,1594.000000,1755.000000
1554840465,111,1755,445.772775,0,423.374720,273.000000,716.000000,1289.000000,1472.000000,1594.000000,1755.000000
1554840475,111,1755,445.772775,0,423.374720,273.000000,716.000000,1289.000000,1472.000000,1594.000000,1755.000000
1554840485,111,1755,445.772775,0,423.374720,273.000000,716.000000,1289.000000,1472.000000,1594.000000,1755.000000
