t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554840155,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1554840165,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1554840175,1,412,412.000000,412,0.000000,412.000000,412.000000,412.000000,412.000000,412.000000,412.000000
1554840185,1,412,412.000000,412,0.000000,412.000000,412.000000,412.000000,412.000000,412.000000,412.000000
1554840195,2,412,285.233473,187,111.591739,187.000000,412.000000,412.000000,412.000000,412.000000,412.000000
1554840205,2,412,285.233473,187,111.591739,187.000000,412.000000,412.000000,412.000000,412.000000,412.000000
1554840215,3,412,298.956164,187,85.562425,317.000000,317.000000,412.000000,412.000000,412.000000,412.000000
1554840225,3,412,298.956164,187,85.562425,317.000000,317.000000,412.000000,412.000000,412.000000,412.000000
1554840235,3,412,298.956164,187,85.562425,317.000000,317.000000,412.000000,412.000000,412.000000,412.000000
1554840245,4,587,414.249939,187,155.909031,412.000000,587.000000,587.000000,587.000000,587.000000,587.000000
1554840255,4,587,414.249939,187,155.909031,412.000000,587.000000,587.000000,587.000000,587.000000,587.000000
1554840265,5,587,289.702410,66,208.508680,317.000000,587.000000,587.000000,587.000000,587.000000,587.000000
1554840275,5,587,289.702410,66,208.508680,317.000000,587.000000,587.000000,587.000000,587.000000,587.000000
1554840285,5,587,289.702410,66,208.508680,317.000000,587.000000,587.000000,587.000000,587.000000,587.000000
1554840295,5,587,289.702410,66,208.508680,317.000000,587.000000,587.000000,587.000000,587.000000,587.000000
1554840305,5,587,289.702410,66,208.508680,317.000000,587.000000,587.000000,587.000000,587.000000,587.000000
1554840315,6,619,431.592469,66,226.569961,587.000000,619.000000,619.000000,619.000000,619.000000,619.000000
1554840325,6,619,431.592469,66,226.569961,587.000000,619.000000,619.000000,619.000000,619.000000,619.000000
1554840335,6,619,431.592469,66,226.569961,587.000000,619.000000,619.000000,619.000000,619.000000,619.000000
1554840345,6,619,431.592469,66,226.569961,587.000000,619.000000,619.000000,619.000000,619.000000,619.000000
1554840355,6,619,431.592469,66,226.569961,587.000000,619.000000,619.000000,619.000000,619.000000,619.000000
1554840365,6,619,431.592469,66,226.569961,587.000000,619.000000,619.000000,619.000000,619.000000,619.000000
1554840375,6,619,431.592469,66,226.569961,587.000000,619.000000,619.000000,619.000000,619.000000,619.000000
1554840385,6,619,431.592469,66,226.569961,587.000000,619.000000,619.000000,619.000000,619.000000,619.000000
1554840395,6,619,431.592469,66,226.569961,587.000000,619.000000,619.000000,619.000000,619.000000,619.000000
1554840405,6,619,431.592469,66,226.569961,587.000000,619.000000,619.000000,619.000000,619.000000,619.000000
1554840415,6,619,431.592469,66,226.569961,587.000000,619.000000,619.000000,619.000000,619.000000,619.000000
1554840425,6,619,431.592469,66,226.569961,587.000000,619.000000,619.000000,619.000000,619.000000,619.000000
1554840435,6,619,431.592469,66,226.569961,587.000000,619.000000,619.000000,619.000000,619.000000,619.000000
1554840445,6,619,431.592469,66,226.569961,587.000000,619.000000,619.000000,619.000000,619.000000,619.000000
1554840455,6,619,431.592469,66,226.569961,587.000000,619.000000,619.000000,619.000000,619.000000,619.000000
1554840465,6,619,431.592469,66,226.569961,587.000000,619.000000,619.000000,619.000000,619.000000,619.000000
1554840475,6,619,431.592469,66,226.569961,587.000000,619.000000,619.000000,619.000000,619.000000,619.000000
1554840485,6,619,431.592469,66,226.569961,587.000000,619.000000,619.000000,619.000000,619.000000,619.000000
