t,count
1554840138,3
1554840148,9
1554840158,14
1554840168,20
1554840178,25
1554840188,30
1554840198,35
1554840208,41
1554840218,47
1554840228,52
1554840238,59
1554840248,65
1554840258,71
1554840268,80
1554840278,85
1554840288,91
1554840298,96
1554840308,101
1554840318,106
1554840328,111
1554840338,119
1554840348,125
1554840358,131
1554840368,136
1554840378,141
1554840388,148
1554840398,157
1554840408,164
1554840418,172
1554840428,181
1554840438,191
1554840448,200
1554840458,210
1554840468,220
1554840478,230
1554840488,240
