t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554840139,2,12,6.417506,1,5.499381,1.000000,12.000000,12.000000,12.000000,12.000000,12.000000
1554840149,7,100,38.214149,1,33.766569,18.000000,61.000000,100.000000,100.000000,100.000000,100.000000
1554840159,12,100,50.037706,1,29.178018,60.000000,75.000000,100.000000,100.000000,100.000000,100.000000
1554840169,17,209,68.001412,1,52.108875,68.000000,100.000000,209.000000,209.000000,209.000000,209.000000
1554840179,22,209,49.820834,1,52.503204,42.000000,75.000000,209.000000,209.000000,209.000000,209.000000
1554840189,27,209,46.831074,1,49.886498,18.000000,75.000000,116.000000,209.000000,209.000000,209.000000
1554840199,32,209,41.744088,1,45.026124,24.000000,61.000000,116.000000,209.000000,209.000000,209.000000
1554840209,37,209,38.711823,1,41.367595,20.000000,61.000000,109.000000,209.000000,209.000000,209.000000
1554840219,42,209,38.218756,1,37.807739,27.000000,56.000000,109.000000,116.000000,209.000000,209.000000
1554840229,47,209,38.251694,1,34.605498,29.000000,56.000000,109.000000,116.000000,209.000000,209.000000
1554840239,52,209,38.476913,1,31.723923,31.000000,51.000000,105.000000,116.000000,209.000000,209.000000
1554840249,57,209,39.102291,1,30.363955,43.000000,50.000000,100.000000,116.000000,209.000000,209.000000
1554840259,62,209,41.206012,1,32.866475,39.000000,51.000000,116.000000,129.000000,129.000000,209.000000
1554840269,67,209,38.552477,1,30.824208,31.000000,49.000000,109.000000,129.000000,129.000000,209.000000
1554840279,72,590,56.014308,1,102.078618,38.000000,51.000000,129.000000,590.000000,590.000000,590.000000
1554840289,77,590,51.426120,1,94.677928,32.000000,50.000000,129.000000,590.000000,590.000000,590.000000
1554840299,82,590,48.182326,1,87.602591,32.000000,46.000000,109.000000,590.000000,590.000000,590.000000
1554840309,87,590,57.083883,1,103.625292,32.000000,46.000000,209.000000,429.000000,590.000000,590.000000
1554840319,92,590,54.942603,1,95.883349,32.000000,52.000000,129.000000,429.000000,590.000000,590.000000
1554840329,97,590,51.325160,1,89.134835,29.000000,52.000000,116.000000,429.000000,590.000000,590.000000
1554840339,102,590,47.321084,1,83.061150,28.000000,46.000000,100.000000,429.000000,590.000000,590.000000
1554840349,107,590,43.010186,0,77.850756,27.000000,46.000000,76.000000,429.000000,590.000000,590.000000
1554840359,112,590,44.282446,0,79.766053,24.000000,44.000000,209.000000,429.000000,429.000000,590.000000
1554840369,117,590,42.171321,0,74.038090,27.000000,43.000000,116.000000,238.000000,429.000000,590.000000
1554840379,122,590,37.691491,0,69.481402,24.000000,37.000000,77.000000,238.000000,429.000000,590.000000
1554840389,127,590,37.107473,0,65.097827,25.000000,37.000000,82.000000,238.000000,429.000000,590.000000
1554840399,132,590,34.691255,0,60.777962,24.000000,37.000000,82.000000,238.000000,429.000000,590.000000
1554840409,137,590,36.501306,0,58.020977,24.000000,42.000000,89.000000,238.000000,429.000000,590.000000
1554840419,142,590,34.495167,0,54.442486,24.000000,41.000000,82.000000,209.000000,238.000000,590.000000
1554840429,147,590,44.319815,0,61.553590,25.000000,54.000000,103.000000,240.000000,240.000000,590.000000
1554840439,152,590,51.524440,0,66.361052,32.000000,55.000000,236.000000,240.000000,240.000000,590.000000
1554840449,157,819,97.047975,0,153.522399,37.000000,89.000000,384.000000,819.000000,819.000000,819.000000
1554840459,161,894,143.338799,0,231.743667,44.000000,167.000000,845.000000,894.000000,894.000000,894.000000
1554840469,166,894,181.044964,0,243.342310,54.000000,258.000000,819.000000,894.000000,894.000000,894.000000
1554840479,169,990,200.816907,0,269.094242,80.000000,258.000000,894.000000,990.000000,990.000000,990.000000
