t,count
1554840138,4
1554840148,43
1554840158,78
1554840168,115
1554840178,155
1554840188,195
1554840198,225
1554840208,261
1554840218,309
1554840228,362
1554840238,389
1554840248,440
1554840258,491
1554840268,521
1554840278,571
1554840288,617
1554840298,660
1554840308,704
1554840318,755
1554840328,806
1554840338,838
1554840348,894
1554840358,942
1554840368,983
1554840378,1021
1554840388,1070
1554840398,1122
1554840408,1160
1554840418,1217
1554840428,1261
1554840438,1322
1554840448,1423
1554840458,1494
1554840468,1683
1554840478,1840
