t,count
1554840138,3
1554840148,8
1554840158,13
1554840168,19
1554840178,25
1554840188,30
1554840198,36
1554840208,42
1554840218,47
1554840228,54
1554840238,59
1554840248,65
1554840258,73
1554840268,78
1554840278,84
1554840288,89
1554840298,94
1554840308,99
1554840318,108
1554840328,117
1554840338,126
1554840348,136
1554840358,146
1554840368,156
1554840378,166
1554840388,176
1554840398,186
1554840408,196
1554840418,206
1554840428,216
1554840438,226
1554840448,236
1554840458,246
1554840468,256
1554840478,266
