t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554840146,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1554840156,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1554840166,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1554840176,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1554840186,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1554840196,1,74,74.000000,74,0.000000,74.000000,74.000000,74.000000,74.000000,74.000000,74.000000
1554840206,2,938,557.592593,74,428.908154,938.000000,938.000000,938.000000,938.000000,938.000000,938.000000
1554840216,2,938,557.592593,74,428.908154,938.000000,938.000000,938.000000,938.000000,938.000000,938.000000
1554840226,2,938,557.592593,74,428.908154,938.000000,938.000000,938.000000,938.000000,938.000000,938.000000
1554840236,2,938,557.592593,74,428.908154,938.000000,938.000000,938.000000,938.000000,938.000000,938.000000
1554840246,2,938,557.592593,74,428.908154,938.000000,938.000000,938.000000,938.000000,938.000000,938.000000
1554840256,2,938,557.592593,74,428.908154,938.000000,938.000000,938.000000,938.000000,938.000000,938.000000
1554840266,2,938,557.592593,74,428.908154,938.000000,938.000000,938.000000,938.000000,938.000000,938.000000
1554840276,2,938,557.592593,74,428.908154,938.000000,938.000000,938.000000,938.000000,938.000000,938.000000
1554840286,2,938,557.592593,74,428.908154,938.000000,938.000000,938.000000,938.000000,938.000000,938.000000
1554840296,2,938,557.592593,74,428.908154,938.000000,938.000000,938.000000,938.000000,938.000000,938.000000
1554840306,2,938,557.592593,74,428.908154,938.000000,938.000000,938.000000,938.000000,938.000000,938.000000
1554840316,2,938,557.592593,74,428.908154,938.000000,938.000000,938.000000,938.000000,938.000000,938.000000
1554840326,2,938,557.592593,74,428.908154,938.000000,938.000000,938.000000,938.000000,938.000000,938.000000
1554840336,2,938,557.592593,74,428.908154,938.000000,938.000000,938.000000,938.000000,938.000000,938.000000
1554840346,2,938,557.592593,74,428.908154,938.000000,938.000000,938.000000,938.000000,938.000000,938.000000
1554840356,2,938,557.592593,74,428.908154,938.000000,938.000000,938.000000,938.000000,938.000000,938.000000
1554840366,2,938,557.592593,74,428.908154,938.000000,938.000000,938.000000,938.000000,938.000000,938.000000
1554840376,2,938,557.592593,74,428.908154,938.000000,938.000000,938.000000,938.000000,938.000000,938.000000
1554840386,2,938,557.592593,74,428.908154,938.000000,938.000000,938.000000,938.000000,938.000000,938.000000
1554840396,2,938,557.592593,74,428.908154,938.000000,938.000000,938.000000,938.000000,938.000000,938.000000
1554840406,3,938,448.687236,74,126.814610,439.000000,439.000000,439.000000,938.000000,938.000000,938.000000
1554840416,3,938,448.687236,74,126.814610,439.000000,439.000000,439.000000,938.000000,938.000000,938.000000
1554840426,3,938,448.687236,74,126.814610,439.000000,439.000000,439.000000,938.000000,938.000000,938.000000
1554840436,3,938,448.687236,74,126.814610,439.000000,439.000000,439.000000,938.000000,938.000000,938.000000
1554840446,3,938,448.687236,74,126.814610,439.000000,439.000000,439.000000,938.000000,938.000000,938.000000
1554840456,3,938,448.687236,74,126.814610,439.000000,439.000000,439.000000,938.000000,938.000000,938.000000
1554840466,3,938,448.687236,74,126.814610,439.000000,439.000000,439.000000,938.000000,938.000000,938.000000
1554840476,3,938,448.687236,74,126.814610,439.000000,439.000000,439.000000,938.000000,938.000000,938.000000
1554840486,3,938,448.687236,74,126.814610,439.000000,439.000000,439.000000,938.000000,938.000000,938.000000
