t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554840146,1,38,38.000000,38,0.000000,38.000000,38.000000,38.000000,38.000000,38.000000,38.000000
1554840156,6,64,43.993483,30,14.060061,38.000000,62.000000,64.000000,64.000000,64.000000,64.000000
1554840166,11,105,54.765302,27,23.132636,60.000000,64.000000,105.000000,105.000000,105.000000,105.000000
1554840176,16,105,47.245999,25,23.155798,38.000000,63.000000,105.000000,105.000000,105.000000,105.000000
1554840186,21,169,57.397575,25,34.859490,59.000000,64.000000,169.000000,169.000000,169.000000,169.000000
1554840196,26,169,55.286500,25,30.704749,57.000000,64.000000,105.000000,169.000000,169.000000,169.000000
1554840206,31,169,51.119642,22,28.727666,42.000000,62.000000,105.000000,169.000000,169.000000,169.000000
1554840216,36,169,46.701285,22,27.089963,41.000000,59.000000,87.000000,169.000000,169.000000,169.000000
1554840226,41,169,45.898923,7,26.410106,41.000000,59.000000,87.000000,169.000000,169.000000,169.000000
1554840236,46,169,44.969575,7,25.328132,41.000000,60.000000,80.000000,105.000000,169.000000,169.000000
1554840246,51,169,49.315951,7,26.494132,42.000000,63.000000,89.000000,105.000000,169.000000,169.000000
1554840256,56,169,50.336285,7,24.911854,43.000000,66.000000,89.000000,89.000000,169.000000,169.000000
1554840266,61,169,49.671411,7,25.504586,43.000000,65.000000,89.000000,93.000000,105.000000,169.000000
1554840276,66,169,49.913327,7,24.252621,44.000000,65.000000,89.000000,93.000000,105.000000,169.000000
1554840286,71,169,50.686747,7,24.726732,45.000000,66.000000,93.000000,94.000000,105.000000,169.000000
1554840296,76,535,62.714761,7,85.887491,43.000000,65.000000,94.000000,535.000000,535.000000,535.000000
1554840306,81,535,61.319671,7,79.292148,45.000000,66.000000,94.000000,535.000000,535.000000,535.000000
1554840316,86,535,57.869431,7,74.421919,44.000000,66.000000,93.000000,535.000000,535.000000,535.000000
1554840326,91,535,58.348838,7,69.190275,45.000000,68.000000,93.000000,169.000000,535.000000,535.000000
1554840336,96,535,55.980161,7,64.607654,44.000000,66.000000,92.000000,105.000000,535.000000,535.000000
1554840346,101,535,55.901057,7,62.521037,44.000000,66.000000,94.000000,147.000000,535.000000,535.000000
1554840356,106,535,52.983575,7,58.271309,40.000000,65.000000,94.000000,147.000000,535.000000,535.000000
1554840366,111,535,56.271464,7,57.708711,42.000000,69.000000,147.000000,169.000000,169.000000,535.000000
1554840376,116,535,54.191279,7,53.985637,39.000000,67.000000,147.000000,169.000000,169.000000,535.000000
1554840386,121,535,60.745252,7,71.834232,39.000000,66.000000,169.000000,347.000000,347.000000,535.000000
1554840396,126,535,58.953969,7,68.603751,39.000000,66.000000,169.000000,347.000000,347.000000,535.000000
1554840406,131,535,63.076913,7,73.287184,39.000000,66.000000,269.000000,347.000000,347.000000,535.000000
1554840416,135,910,123.929362,7,209.754492,45.000000,80.000000,842.000000,910.000000,910.000000,910.000000
1554840426,136,910,130.828953,7,209.877579,45.000000,92.000000,842.000000,910.000000,910.000000,910.000000
1554840436,136,910,130.828953,7,209.877579,45.000000,92.000000,842.000000,910.000000,910.000000,910.000000
1554840446,136,910,130.828953,7,209.877579,45.000000,92.000000,842.000000,910.000000,910.000000,910.000000
1554840456,136,910,130.828953,7,209.877579,45.000000,92.000000,842.000000,910.000000,910.000000,910.000000
1554840466,136,910,130.828953,7,209.877579,45.000000,92.000000,842.000000,910.000000,910.000000,910.000000
1554840476,137,910,156.159509,7,225.001768,46.000000,160.000000,842.000000,910.000000,910.000000,910.000000
1554840486,137,910,156.159509,7,225.001768,46.000000,160.000000,842.000000,910.000000,910.000000,910.000000
