t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1554840130,14,1.611242,1.400000,1.400000,1.400000,events/second
1554840140,57,3.041230,1.620040,1.446116,1.415494,events/second
1554840150,116,4.042531,2.211210,1.578827,1.460605,events/second
1554840160,158,4.082870,2.738492,1.713580,1.507408,events/second
1554840170,196,4.025506,2.891855,1.778948,1.531663,events/second
1554840180,254,4.327836,3.211010,1.881733,1.568934,events/second
1554840190,294,4.280595,3.279046,1.941042,1.592448,events/second
1554840200,342,4.345910,3.631519,2.060833,1.636712,events/second
1554840210,379,4.273370,3.659941,2.117959,1.660627,events/second
1554840220,401,4.063143,3.601487,2.156575,1.678726,events/second
1554840230,448,4.121994,3.583341,2.197885,1.697807,events/second
1554840240,478,4.027659,3.697836,2.266992,1.726582,events/second
1554840250,492,3.823251,3.326528,2.235154,1.721853,events/second
1554840260,549,3.958613,3.500276,2.306508,1.751488,events/second
1554840270,583,3.921106,3.488087,2.345117,1.770750,events/second
1554840280,628,3.957536,3.649188,2.416008,1.800935,events/second
1554840290,688,4.078462,3.889823,2.507387,1.838506,events/second
1554840300,746,4.174853,4.180513,2.615223,1.882267,events/second
1554840310,789,4.181566,4.286492,2.689935,1.915590,events/second
1554840320,811,4.081814,4.030790,2.689746,1.924199,events/second
1554840330,873,4.183212,4.203244,2.769119,1.959330,events/second
1554840340,889,4.065238,4.065867,2.789201,1.975182,events/second
1554840350,939,4.105595,3.998184,2.815946,1.993154,events/second
1554840360,996,4.171993,4.270960,2.913611,2.035199,events/second
1554840370,1027,4.129804,4.344506,2.975126,2.065712,events/second
1554840380,1051,4.062838,4.036390,2.953239,2.068329,events/second
1554840390,1061,3.948436,3.570249,2.889204,2.056524,events/second
1554840400,1071,3.842683,3.175669,2.827268,2.044850,events/second
1554840410,1082,3.747875,2.825673,2.764058,2.032197,events/second
1554840420,1091,3.652576,2.574824,2.712727,2.022995,events/second
1554840430,1101,3.566802,2.318347,2.653326,2.010590,events/second
1554840440,1110,3.483082,2.101244,2.595873,1.998321,events/second
1554840450,1120,3.407185,1.932183,2.543554,1.987290,events/second
1554840460,1128,3.330491,1.758372,2.486393,1.974171,events/second
1554840470,1138,3.263467,1.641948,2.437664,1.963407,events/second
1554840480,1147,3.197835,1.543397,2.390531,1.952762,events/second
