t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554840140,4,341,98.698284,6,140.135074,40.000000,40.000000,341.000000,341.000000,341.000000,341.000000
1554840150,9,956,329.350565,5,382.813041,40.000000,546.000000,956.000000,956.000000,956.000000,956.000000
1554840160,14,956,245.948687,3,337.936340,37.000000,537.000000,956.000000,956.000000,956.000000,956.000000
1554840170,19,956,277.963301,3,347.321893,40.000000,537.000000,952.000000,956.000000,956.000000,956.000000
1554840180,24,956,239.250851,3,322.764549,37.000000,535.000000,952.000000,956.000000,956.000000,956.000000
1554840190,29,956,188.010312,3,295.906046,35.000000,135.000000,952.000000,956.000000,956.000000,956.000000
1554840200,33,956,165.328156,3,272.526149,37.000000,135.000000,938.000000,956.000000,956.000000,956.000000
1554840210,37,956,167.172646,3,264.548529,37.000000,135.000000,938.000000,952.000000,956.000000,956.000000
1554840220,42,956,157.818171,3,254.467986,36.000000,135.000000,551.000000,952.000000,956.000000,956.000000
1554840230,44,956,173.698652,3,265.456693,36.000000,150.000000,651.000000,952.000000,956.000000,956.000000
1554840240,49,956,143.220602,3,245.627605,22.000000,112.000000,651.000000,952.000000,952.000000,956.000000
1554840250,54,956,179.209274,3,262.105476,37.000000,329.000000,728.000000,938.000000,952.000000,956.000000
1554840260,55,956,202.286847,3,277.586348,42.000000,511.000000,728.000000,938.000000,952.000000,956.000000
1554840270,60,956,176.228860,2,259.484683,33.000000,286.000000,728.000000,938.000000,952.000000,956.000000
1554840280,64,956,181.717889,2,263.204722,34.000000,286.000000,697.000000,728.000000,952.000000,956.000000
1554840290,67,956,162.690080,2,252.774757,30.000000,150.000000,697.000000,728.000000,952.000000,956.000000
1554840300,72,956,161.323446,2,254.896751,22.000000,135.000000,697.000000,728.000000,938.000000,956.000000
1554840310,75,956,145.756526,2,243.646298,23.000000,86.000000,685.000000,728.000000,938.000000,956.000000
1554840320,80,956,150.335590,2,244.928694,30.000000,91.000000,685.000000,728.000000,728.000000,956.000000
1554840330,82,956,142.721161,2,236.178556,34.000000,86.000000,685.000000,728.000000,728.000000,956.000000
1554840340,87,956,118.724365,2,219.074571,21.000000,71.000000,685.000000,697.000000,728.000000,956.000000
1554840350,89,956,126.895057,2,219.134713,22.000000,80.000000,685.000000,697.000000,728.000000,956.000000
1554840360,94,956,104.757115,2,203.320444,17.000000,48.000000,685.000000,697.000000,728.000000,956.000000
1554840370,99,956,128.763491,2,226.142267,16.000000,71.000000,679.000000,685.000000,728.000000,956.000000
1554840380,102,971,151.771986,2,269.963536,15.000000,80.000000,697.000000,971.000000,971.000000,971.000000
1554840390,103,971,147.299520,2,265.581629,16.000000,71.000000,697.000000,971.000000,971.000000,971.000000
1554840400,103,971,147.299520,2,265.581629,16.000000,71.000000,697.000000,971.000000,971.000000,971.000000
1554840410,103,971,147.299520,2,265.581629,16.000000,71.000000,697.000000,971.000000,971.000000,971.000000
1554840420,103,971,147.299520,2,265.581629,16.000000,71.000000,697.000000,971.000000,971.000000,971.000000
1554840430,103,971,147.299520,2,265.581629,16.000000,71.000000,697.000000,971.000000,971.000000,971.000000
1554840440,103,971,147.299520,2,265.581629,16.000000,71.000000,697.000000,971.000000,971.000000,971.000000
1554840450,103,971,147.299520,2,265.581629,16.000000,71.000000,697.000000,971.000000,971.000000,971.000000
1554840460,103,971,147.299520,2,265.581629,16.000000,71.000000,697.000000,971.000000,971.000000,971.000000
1554840470,103,971,147.299520,2,265.581629,16.000000,71.000000,697.000000,971.000000,971.000000,971.000000
1554840480,103,971,147.299520,2,265.581629,16.000000,71.000000,697.000000,971.000000,971.000000,971.000000
