t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554840154,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1554840164,1,484,484.000000,484,0.000000,484.000000,484.000000,484.000000,484.000000,484.000000,484.000000
1554840174,1,484,484.000000,484,0.000000,484.000000,484.000000,484.000000,484.000000,484.000000,484.000000
1554840184,1,484,484.000000,484,0.000000,484.000000,484.000000,484.000000,484.000000,484.000000,484.000000
1554840194,1,484,484.000000,484,0.000000,484.000000,484.000000,484.000000,484.000000,484.000000,484.000000
1554840204,2,845,707.006983,484,175.423506,845.000000,845.000000,845.000000,845.000000,845.000000,845.000000
1554840214,2,845,707.006983,484,175.423506,845.000000,845.000000,845.000000,845.000000,845.000000,845.000000
1554840224,2,845,707.006983,484,175.423506,845.000000,845.000000,845.000000,845.000000,845.000000,845.000000
1554840234,2,845,707.006983,484,175.423506,845.000000,845.000000,845.000000,845.000000,845.000000,845.000000
1554840244,2,845,707.006983,484,175.423506,845.000000,845.000000,845.000000,845.000000,845.000000,845.000000
1554840254,2,845,707.006983,484,175.423506,845.000000,845.000000,845.000000,845.000000,845.000000,845.000000
1554840264,3,868,805.824930,484,134.270695,868.000000,868.000000,868.000000,868.000000,868.000000,868.000000
1554840274,4,868,721.522874,484,146.174682,845.000000,868.000000,868.000000,868.000000,868.000000,868.000000
1554840284,4,868,721.522874,484,146.174682,845.000000,868.000000,868.000000,868.000000,868.000000,868.000000
1554840294,4,868,721.522874,484,146.174682,845.000000,868.000000,868.000000,868.000000,868.000000,868.000000
1554840304,4,868,721.522874,484,146.174682,845.000000,868.000000,868.000000,868.000000,868.000000,868.000000
1554840314,5,868,639.218953,484,141.828583,596.000000,845.000000,868.000000,868.000000,868.000000,868.000000
1554840324,5,868,639.218953,484,141.828583,596.000000,845.000000,868.000000,868.000000,868.000000,868.000000
1554840334,5,868,639.218953,484,141.828583,596.000000,845.000000,868.000000,868.000000,868.000000,868.000000
1554840344,5,868,639.218953,484,141.828583,596.000000,845.000000,868.000000,868.000000,868.000000,868.000000
1554840354,5,868,639.218953,484,141.828583,596.000000,845.000000,868.000000,868.000000,868.000000,868.000000
1554840364,5,868,639.218953,484,141.828583,596.000000,845.000000,868.000000,868.000000,868.000000,868.000000
1554840374,5,868,639.218953,484,141.828583,596.000000,845.000000,868.000000,868.000000,868.000000,868.000000
1554840384,5,868,639.218953,484,141.828583,596.000000,845.000000,868.000000,868.000000,868.000000,868.000000
1554840394,5,868,639.218953,484,141.828583,596.000000,845.000000,868.000000,868.000000,868.000000,868.000000
1554840404,5,868,639.218953,484,141.828583,596.000000,845.000000,868.000000,868.000000,868.000000,868.000000
1554840414,5,868,639.218953,484,141.828583,596.000000,845.000000,868.000000,868.000000,868.000000,868.000000
1554840424,5,868,639.218953,484,141.828583,596.000000,845.000000,868.000000,868.000000,868.000000,868.000000
1554840434,5,868,639.218953,484,141.828583,596.000000,845.000000,868.000000,868.000000,868.000000,868.000000
1554840444,5,868,639.218953,484,141.828583,596.000000,845.000000,868.000000,868.000000,868.000000,868.000000
1554840454,5,868,639.218953,484,141.828583,596.000000,845.000000,868.000000,868.000000,868.000000,868.000000
1554840464,5,868,639.218953,484,141.828583,596.000000,845.000000,868.000000,868.000000,868.000000,868.000000
1554840474,5,868,639.218953,484,141.828583,596.000000,845.000000,868.000000,868.000000,868.000000,868.000000
1554840484,5,868,639.218953,484,141.828583,596.000000,845.000000,868.000000,868.000000,868.000000,868.000000
