t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554840144,4,46,28.266508,8,14.502416,36.000000,46.000000,46.000000,46.000000,46.000000,46.000000
1554840154,7,46,23.803135,8,12.769492,22.000000,36.000000,46.000000,46.000000,46.000000,46.000000
1554840164,12,46,22.440839,3,12.086057,22.000000,26.000000,46.000000,46.000000,46.000000,46.000000
1554840174,16,70,23.810589,3,17.159828,21.000000,26.000000,70.000000,70.000000,70.000000,70.000000
1554840184,20,70,23.152610,3,15.175457,20.000000,26.000000,70.000000,70.000000,70.000000,70.000000
1554840194,24,83,27.266213,3,19.985277,20.000000,33.000000,83.000000,83.000000,83.000000,83.000000
1554840204,29,83,26.001252,3,18.182700,19.000000,33.000000,70.000000,83.000000,83.000000,83.000000
1554840214,34,684,55.955446,3,134.609146,22.000000,39.000000,83.000000,684.000000,684.000000,684.000000
1554840224,38,684,49.551850,3,123.209807,22.000000,36.000000,83.000000,684.000000,684.000000,684.000000
1554840234,43,684,43.009490,3,110.841537,20.000000,30.000000,83.000000,684.000000,684.000000,684.000000
1554840244,46,684,40.699968,3,104.168861,19.000000,30.000000,70.000000,684.000000,684.000000,684.000000
1554840254,51,684,37.596027,3,93.895757,20.000000,36.000000,58.000000,684.000000,684.000000,684.000000
1554840264,54,684,44.498177,3,97.751286,21.000000,36.000000,253.000000,253.000000,684.000000,684.000000
1554840274,57,684,53.307569,3,101.449108,25.000000,39.000000,267.000000,267.000000,684.000000,684.000000
1554840284,62,684,74.081839,3,151.511194,25.000000,45.000000,661.000000,661.000000,684.000000,684.000000
1554840294,66,876,110.661960,3,210.950800,29.000000,51.000000,661.000000,876.000000,876.000000,876.000000
1554840304,70,876,124.655469,3,222.368622,34.000000,58.000000,661.000000,876.000000,876.000000,876.000000
1554840314,75,876,109.962636,3,205.266582,30.000000,58.000000,661.000000,876.000000,876.000000,876.000000
1554840324,80,876,110.000831,3,199.318867,34.000000,58.000000,659.000000,876.000000,876.000000,876.000000
1554840334,84,876,97.607966,3,188.115801,25.000000,50.000000,659.000000,684.000000,876.000000,876.000000
1554840344,87,876,88.548946,3,179.463320,23.000000,49.000000,659.000000,684.000000,876.000000,876.000000
1554840354,91,876,77.244803,3,168.884439,18.000000,45.000000,450.000000,661.000000,876.000000,876.000000
1554840364,95,876,112.603980,3,217.701519,24.000000,51.000000,684.000000,839.000000,876.000000,876.000000
1554840374,100,876,110.407641,3,210.617196,23.000000,50.000000,661.000000,839.000000,876.000000,876.000000
1554840384,100,876,110.407641,3,210.617196,23.000000,50.000000,661.000000,839.000000,876.000000,876.000000
1554840394,100,876,110.407641,3,210.617196,23.000000,50.000000,661.000000,839.000000,876.000000,876.000000
1554840404,100,876,110.407641,3,210.617196,23.000000,50.000000,661.000000,839.000000,876.000000,876.000000
1554840414,100,876,110.407641,3,210.617196,23.000000,50.000000,661.000000,839.000000,876.000000,876.000000
1554840424,100,876,110.407641,3,210.617196,23.000000,50.000000,661.000000,839.000000,876.000000,876.000000
1554840434,100,876,110.407641,3,210.617196,23.000000,50.000000,661.000000,839.000000,876.000000,876.000000
1554840444,100,876,110.407641,3,210.617196,23.000000,50.000000,661.000000,839.000000,876.000000,876.000000
1554840454,100,876,110.407641,3,210.617196,23.000000,50.000000,661.000000,839.000000,876.000000,876.000000
1554840464,100,876,110.407641,3,210.617196,23.000000,50.000000,661.000000,839.000000,876.000000,876.000000
1554840474,100,876,110.407641,3,210.617196,23.000000,50.000000,661.000000,839.000000,876.000000,876.000000
1554840484,100,876,110.407641,3,210.617196,23.000000,50.000000,661.000000,839.000000,876.000000,876.000000
