t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554840144,5,76,51.574922,41,13.932553,42.000000,59.000000,76.000000,76.000000,76.000000,76.000000
1554840154,10,76,44.198090,24,14.925784,41.000000,57.000000,76.000000,76.000000,76.000000,76.000000
1554840164,15,76,42.076767,21,16.481294,40.000000,57.000000,76.000000,76.000000,76.000000,76.000000
1554840174,20,321,54.854384,19,68.098161,38.000000,45.000000,321.000000,321.000000,321.000000,321.000000
1554840184,25,321,50.088675,19,59.088517,38.000000,45.000000,76.000000,321.000000,321.000000,321.000000
1554840194,30,321,47.899548,14,52.487062,39.000000,48.000000,76.000000,321.000000,321.000000,321.000000
1554840204,35,321,47.662667,14,46.878410,41.000000,47.000000,71.000000,321.000000,321.000000,321.000000
1554840214,40,321,44.741654,10,43.540290,40.000000,47.000000,71.000000,321.000000,321.000000,321.000000
1554840224,45,321,47.994144,10,40.739843,43.000000,59.000000,79.000000,79.000000,321.000000,321.000000
1554840234,50,321,44.912631,9,38.347890,42.000000,57.000000,77.000000,79.000000,321.000000,321.000000
1554840244,55,321,43.631756,6,37.527685,41.000000,58.000000,79.000000,89.000000,321.000000,321.000000
1554840254,60,321,44.776336,6,35.271057,42.000000,58.000000,79.000000,89.000000,89.000000,321.000000
1554840264,65,321,45.681038,6,32.629876,44.000000,58.000000,79.000000,89.000000,89.000000,321.000000
1554840274,70,321,44.854710,6,30.714467,44.000000,58.000000,77.000000,89.000000,89.000000,321.000000
1554840284,75,699,63.554037,6,114.277767,44.000000,60.000000,89.000000,699.000000,699.000000,699.000000
1554840294,80,699,61.302651,6,105.326671,43.000000,59.000000,79.000000,699.000000,699.000000,699.000000
1554840304,85,699,74.963319,6,130.370495,44.000000,60.000000,558.000000,699.000000,699.000000,699.000000
1554840314,90,699,68.851439,6,121.365839,42.000000,60.000000,89.000000,558.000000,699.000000,699.000000
1554840324,95,699,67.173665,6,112.103360,48.000000,59.000000,89.000000,558.000000,699.000000,699.000000
1554840334,100,699,66.562250,6,103.930887,52.000000,59.000000,102.000000,558.000000,699.000000,699.000000
1554840344,105,699,65.565853,6,96.970433,52.000000,60.000000,118.000000,558.000000,699.000000,699.000000
1554840354,110,699,72.673108,6,103.839844,52.000000,62.000000,374.000000,558.000000,558.000000,699.000000
1554840364,115,699,67.972616,6,96.954422,51.000000,62.000000,118.000000,558.000000,558.000000,699.000000
1554840374,120,699,65.069978,6,90.359356,51.000000,65.000000,118.000000,374.000000,558.000000,699.000000
1554840384,125,699,61.849344,6,84.229353,50.000000,62.000000,102.000000,374.000000,558.000000,699.000000
1554840394,130,699,59.878945,6,78.855970,51.000000,64.000000,102.000000,374.000000,558.000000,699.000000
1554840404,135,699,58.766642,6,73.557488,50.000000,64.000000,87.000000,374.000000,558.000000,699.000000
1554840414,140,699,55.412609,6,68.698855,44.000000,63.000000,87.000000,374.000000,374.000000,699.000000
1554840424,145,699,66.087391,6,83.981085,44.000000,64.000000,143.000000,376.000000,376.000000,699.000000
1554840434,150,699,67.836867,6,81.129368,47.000000,68.000000,175.000000,376.000000,376.000000,699.000000
1554840444,155,955,123.638216,6,184.839496,56.000000,102.000000,421.000000,955.000000,955.000000,955.000000
1554840454,159,955,139.356545,6,188.164844,60.000000,171.000000,522.000000,955.000000,955.000000,955.000000
1554840464,164,988,190.765816,6,241.588016,69.000000,304.000000,638.000000,988.000000,988.000000,988.000000
1554840474,166,988,192.846966,6,235.384770,71.000000,321.000000,638.000000,988.000000,988.000000,988.000000
1554840484,167,988,195.387865,6,231.769783,80.000000,321.000000,638.000000,988.000000,988.000000,988.000000
