t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554840141,5,194,48.448022,9,72.800350,12.000000,18.000000,194.000000,194.000000,194.000000,194.000000
1554840151,8,194,42.634352,7,57.432122,18.000000,57.000000,194.000000,194.000000,194.000000,194.000000
1554840161,13,389,68.441622,5,111.375109,24.000000,41.000000,389.000000,389.000000,389.000000,389.000000
1554840171,18,785,132.007408,5,215.832023,35.000000,57.000000,785.000000,785.000000,785.000000,785.000000
1554840181,22,785,152.071207,2,225.514754,35.000000,194.000000,785.000000,785.000000,785.000000,785.000000
1554840191,27,785,121.050105,2,201.318736,35.000000,57.000000,600.000000,785.000000,785.000000,785.000000
1554840201,31,785,104.895747,2,183.903565,35.000000,52.000000,600.000000,785.000000,785.000000,785.000000
1554840211,36,785,106.373742,2,177.122460,35.000000,49.000000,600.000000,785.000000,785.000000,785.000000
1554840221,39,785,94.956476,2,167.486095,35.000000,48.000000,404.000000,785.000000,785.000000,785.000000
1554840231,43,785,99.455152,2,167.018573,35.000000,49.000000,404.000000,600.000000,785.000000,785.000000
1554840241,48,785,126.747364,2,206.908663,35.000000,52.000000,773.000000,773.000000,785.000000,785.000000
1554840251,52,785,138.584785,2,212.369300,35.000000,171.000000,600.000000,773.000000,785.000000,785.000000
1554840261,53,785,133.636345,2,209.288593,35.000000,171.000000,600.000000,773.000000,785.000000,785.000000
1554840271,58,785,140.427086,2,210.133494,35.000000,184.000000,585.000000,773.000000,773.000000,785.000000
1554840281,62,966,183.702715,2,267.214708,36.000000,194.000000,773.000000,966.000000,966.000000,966.000000
1554840291,67,966,188.007096,2,290.238585,35.000000,184.000000,965.000000,966.000000,966.000000,966.000000
1554840301,72,982,214.447453,2,313.377370,36.000000,389.000000,966.000000,982.000000,982.000000,982.000000
1554840311,77,982,181.077003,2,294.904733,34.000000,171.000000,965.000000,982.000000,982.000000,982.000000
1554840321,82,982,206.202290,2,317.931875,34.000000,351.000000,976.000000,982.000000,982.000000,982.000000
1554840331,84,982,225.344817,2,338.805958,34.000000,391.000000,976.000000,982.000000,982.000000,982.000000
1554840341,89,982,189.873514,2,317.724394,31.000000,56.000000,976.000000,976.000000,982.000000,982.000000
1554840351,92,982,211.141712,2,320.728145,32.000000,374.000000,976.000000,976.000000,982.000000,982.000000
1554840361,97,982,205.407933,2,318.589780,31.000000,374.000000,976.000000,976.000000,982.000000,982.000000
1554840371,102,982,173.834466,2,299.223189,24.000000,48.000000,966.000000,976.000000,982.000000,982.000000
1554840381,106,982,180.007015,2,303.668066,24.000000,49.000000,965.000000,976.000000,976.000000,982.000000
1554840391,107,982,195.729282,2,309.062956,24.000000,351.000000,965.000000,976.000000,976.000000,982.000000
1554840401,107,982,195.729282,2,309.062956,24.000000,351.000000,965.000000,976.000000,976.000000,982.000000
1554840411,107,982,195.729282,2,309.062956,24.000000,351.000000,965.000000,976.000000,976.000000,982.000000
1554840421,107,982,195.729282,2,309.062956,24.000000,351.000000,965.000000,976.000000,976.000000,982.000000
1554840431,107,982,195.729282,2,309.062956,24.000000,351.000000,965.000000,976.000000,976.000000,982.000000
1554840441,107,982,195.729282,2,309.062956,24.000000,351.000000,965.000000,976.000000,976.000000,982.000000
1554840451,107,982,195.729282,2,309.062956,24.000000,351.000000,965.000000,976.000000,976.000000,982.000000
1554840461,107,982,195.729282,2,309.062956,24.000000,351.000000,965.000000,976.000000,976.000000,982.000000
1554840471,107,982,195.729282,2,309.062956,24.000000,351.000000,965.000000,976.000000,976.000000,982.000000
1554840481,107,982,195.729282,2,309.062956,24.000000,351.000000,965.000000,976.000000,976.000000,982.000000
1554840491,107,982,195.729282,2,309.062956,24.000000,351.000000,965.000000,976.000000,976.000000,982.000000
