t,count
1554840141,3
1554840151,8
1554840161,13
1554840171,18
1554840181,23
1554840191,28
1554840201,33
1554840211,38
1554840221,43
1554840231,48
1554840241,53
1554840251,58
1554840261,63
1554840271,68
1554840281,73
1554840291,78
1554840301,83
1554840311,88
1554840321,93
1554840331,98
1554840341,103
1554840351,108
1554840361,113
1554840371,118
1554840381,123
1554840391,128
1554840401,133
1554840411,138
1554840421,143
1554840431,148
1554840441,154
1554840451,159
1554840461,164
1554840471,171
1554840481,180
1554840491,189
