t,count
1554840143,3
1554840153,8
1554840163,13
1554840173,18
1554840183,23
1554840193,28
1554840203,33
1554840213,38
1554840223,43
1554840233,48
1554840243,53
1554840253,58
1554840263,63
1554840273,68
1554840283,74
1554840293,79
1554840303,84
1554840313,89
1554840323,94
1554840333,99
1554840343,104
1554840353,109
1554840363,114
1554840373,119
1554840383,124
1554840393,129
1554840403,134
1554840413,139
1554840423,144
1554840433,149
1554840443,154
1554840453,159
1554840463,164
1554840473,169
1554840483,174
