t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554840143,3,114,51.903631,7,44.666995,37.000000,114.000000,114.000000,114.000000,114.000000,114.000000
1554840153,8,114,35.304012,2,31.382160,28.000000,46.000000,114.000000,114.000000,114.000000,114.000000
1554840163,13,114,39.033664,2,26.071452,37.000000,46.000000,114.000000,114.000000,114.000000,114.000000
1554840173,18,114,34.626623,2,25.209173,28.000000,46.000000,64.000000,114.000000,114.000000,114.000000
1554840183,23,114,29.991418,2,23.327524,25.000000,45.000000,64.000000,114.000000,114.000000,114.000000
1554840193,28,114,28.488783,2,21.137148,25.000000,42.000000,64.000000,114.000000,114.000000,114.000000
1554840203,33,114,29.244628,2,20.535077,25.000000,45.000000,64.000000,64.000000,114.000000,114.000000
1554840213,38,114,32.304249,2,20.667961,28.000000,45.000000,67.000000,67.000000,114.000000,114.000000
1554840223,43,114,32.522737,2,19.630996,31.000000,44.000000,64.000000,67.000000,114.000000,114.000000
1554840233,48,396,47.502535,2,71.932918,35.000000,45.000000,87.000000,396.000000,396.000000,396.000000
1554840243,53,396,44.440201,2,66.041202,35.000000,44.000000,87.000000,396.000000,396.000000,396.000000
1554840253,58,396,40.729776,2,60.828580,30.000000,42.000000,87.000000,396.000000,396.000000,396.000000
1554840263,63,396,36.912167,2,56.446712,28.000000,39.000000,67.000000,396.000000,396.000000,396.000000
1554840273,68,396,34.936608,1,52.686920,29.000000,39.000000,67.000000,114.000000,396.000000,396.000000
1554840283,73,396,45.054301,1,67.370653,29.000000,45.000000,114.000000,296.000000,396.000000,396.000000
1554840293,78,396,41.299134,1,62.747034,28.000000,42.000000,87.000000,296.000000,396.000000,396.000000
1554840303,83,396,41.520283,1,61.427740,25.000000,42.000000,147.000000,296.000000,396.000000,396.000000
1554840313,88,396,41.922416,1,57.867407,28.000000,46.000000,147.000000,296.000000,296.000000,396.000000
1554840323,93,396,38.610906,1,54.320288,25.000000,42.000000,91.000000,296.000000,296.000000,396.000000
1554840333,98,396,41.417665,1,63.143843,21.000000,42.000000,147.000000,296.000000,296.000000,396.000000
1554840343,103,396,39.059312,1,58.796521,24.000000,42.000000,147.000000,258.000000,296.000000,396.000000
1554840353,108,396,35.554885,1,55.325171,22.000000,41.000000,114.000000,258.000000,296.000000,396.000000
1554840363,113,396,40.911862,1,67.573170,23.000000,41.000000,258.000000,290.000000,296.000000,396.000000
1554840373,118,396,37.361492,1,63.343704,22.000000,39.000000,258.000000,290.000000,296.000000,396.000000
1554840383,123,396,45.344788,1,70.503260,23.000000,39.000000,245.000000,290.000000,290.000000,396.000000
1554840393,128,396,41.446987,1,66.244541,22.000000,39.000000,245.000000,290.000000,290.000000,396.000000
1554840403,133,396,52.761707,1,80.434440,23.000000,43.000000,267.000000,290.000000,290.000000,396.000000
1554840413,136,396,64.614565,1,90.608122,25.000000,50.000000,265.000000,290.000000,290.000000,396.000000
1554840423,138,930,92.468125,1,172.285693,29.000000,87.000000,290.000000,930.000000,930.000000,930.000000
1554840433,138,930,92.468125,1,172.285693,29.000000,87.000000,290.000000,930.000000,930.000000,930.000000
1554840443,139,930,108.587711,1,186.134664,30.000000,113.000000,491.000000,930.000000,930.000000,930.000000
1554840453,139,930,108.587711,1,186.134664,30.000000,113.000000,491.000000,930.000000,930.000000,930.000000
1554840463,139,930,108.587711,1,186.134664,30.000000,113.000000,491.000000,930.000000,930.000000,930.000000
1554840473,139,930,108.587711,1,186.134664,30.000000,113.000000,491.000000,930.000000,930.000000,930.000000
1554840483,139,930,108.587711,1,186.134664,30.000000,113.000000,491.000000,930.000000,930.000000,930.000000
