t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554840143,3,72,33.331450,5,27.969568,25.000000,72.000000,72.000000,72.000000,72.000000,72.000000
1554840153,8,72,15.992230,4,20.880896,7.000000,11.000000,72.000000,72.000000,72.000000,72.000000
1554840163,13,352,42.243193,1,98.197727,7.000000,19.000000,352.000000,352.000000,352.000000,352.000000
1554840173,18,352,37.465297,1,81.546814,8.000000,33.000000,352.000000,352.000000,352.000000,352.000000
1554840183,23,352,37.417288,1,70.901560,9.000000,50.000000,82.000000,352.000000,352.000000,352.000000
1554840193,28,352,29.239365,1,63.306413,7.000000,33.000000,82.000000,352.000000,352.000000,352.000000
1554840203,33,352,25.628228,1,56.530503,8.000000,33.000000,82.000000,352.000000,352.000000,352.000000
1554840213,38,352,21.133090,1,51.198984,7.000000,15.000000,72.000000,82.000000,352.000000,352.000000
1554840223,43,352,19.628337,1,46.541454,7.000000,15.000000,57.000000,82.000000,352.000000,352.000000
1554840233,48,352,17.578600,1,42.741474,5.000000,11.000000,57.000000,82.000000,352.000000,352.000000
1554840243,53,352,15.069925,1,39.229679,5.000000,10.000000,56.000000,82.000000,352.000000,352.000000
1554840253,58,352,13.218049,1,36.077810,2.000000,10.000000,50.000000,82.000000,82.000000,352.000000
1554840263,63,352,18.420834,1,35.819193,5.000000,23.000000,66.000000,72.000000,82.000000,352.000000
1554840273,68,691,46.475255,1,124.882575,9.000000,42.000000,97.000000,691.000000,691.000000,691.000000
1554840283,73,691,40.028008,1,115.680180,7.000000,33.000000,97.000000,691.000000,691.000000,691.000000
1554840293,78,691,38.132137,1,107.253314,7.000000,37.000000,90.000000,691.000000,691.000000,691.000000
1554840303,83,691,43.068072,1,110.666010,7.000000,37.000000,324.000000,352.000000,691.000000,691.000000
1554840313,88,691,40.303493,1,102.870464,7.000000,40.000000,97.000000,352.000000,691.000000,691.000000
1554840323,93,691,34.766479,1,95.858566,6.000000,24.000000,97.000000,324.000000,691.000000,691.000000
1554840333,98,691,30.881474,1,89.058578,6.000000,21.000000,90.000000,324.000000,691.000000,691.000000
1554840343,103,691,27.845543,1,82.676675,7.000000,17.000000,85.000000,324.000000,691.000000,691.000000
1554840353,108,691,34.236568,1,91.119013,7.000000,21.000000,324.000000,328.000000,352.000000,691.000000
1554840363,113,691,30.997183,1,84.844864,7.000000,21.000000,97.000000,328.000000,328.000000,691.000000
1554840373,118,691,27.530973,1,79.030147,7.000000,17.000000,90.000000,328.000000,328.000000,691.000000
1554840383,123,691,25.049423,1,73.496962,6.000000,21.000000,85.000000,328.000000,328.000000,691.000000
1554840393,128,691,24.359251,1,68.546613,6.000000,21.000000,75.000000,328.000000,328.000000,691.000000
1554840403,133,691,24.275578,1,63.911112,6.000000,23.000000,58.000000,324.000000,328.000000,691.000000
1554840413,138,691,24.502246,1,59.522798,7.000000,31.000000,56.000000,324.000000,328.000000,691.000000
1554840423,143,691,27.666628,1,55.911369,16.000000,37.000000,68.000000,97.000000,328.000000,691.000000
1554840433,148,691,28.009298,1,52.369711,16.000000,44.000000,68.000000,85.000000,328.000000,691.000000
1554840443,153,691,29.344804,1,49.378750,23.000000,40.000000,75.000000,85.000000,324.000000,691.000000
1554840453,158,691,28.028124,1,45.976255,23.000000,37.000000,68.000000,82.000000,324.000000,691.000000
1554840463,163,691,29.222761,1,42.973862,23.000000,40.000000,68.000000,82.000000,97.000000,691.000000
1554840473,168,691,30.802474,1,40.399039,23.000000,42.000000,61.000000,82.000000,90.000000,691.000000
1554840483,173,691,40.221907,1,59.502442,28.000000,44.000000,82.000000,302.000000,302.000000,691.000000
