t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554848324,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1554848334,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1554848344,1,511,511.000000,511,0.000000,511.000000,511.000000,511.000000,511.000000,511.000000,511.000000
1554848354,2,511,496.791900,484,13.481417,484.000000,511.000000,511.000000,511.000000,511.000000,511.000000
1554848364,3,511,431.231764,324,84.515793,484.000000,511.000000,511.000000,511.000000,511.000000,511.000000
1554848374,3,511,431.231764,324,84.515793,484.000000,511.000000,511.000000,511.000000,511.000000,511.000000
1554848384,4,515,460.169121,324,79.133374,511.000000,515.000000,515.000000,515.000000,515.000000,515.000000
1554848394,4,515,460.169121,324,79.133374,511.000000,515.000000,515.000000,515.000000,515.000000,515.000000
1554848404,5,515,419.196016,324,89.138215,484.000000,511.000000,515.000000,515.000000,515.000000,515.000000
1554848414,5,515,419.196016,324,89.138215,484.000000,511.000000,515.000000,515.000000,515.000000,515.000000
1554848424,5,515,419.196016,324,89.138215,484.000000,511.000000,515.000000,515.000000,515.000000,515.000000
1554848434,5,515,419.196016,324,89.138215,484.000000,511.000000,515.000000,515.000000,515.000000,515.000000
1554848444,5,515,419.196016,324,89.138215,484.000000,511.000000,515.000000,515.000000,515.000000,515.000000
1554848454,5,515,419.196016,324,89.138215,484.000000,511.000000,515.000000,515.000000,515.000000,515.000000
1554848464,5,515,419.196016,324,89.138215,484.000000,511.000000,515.000000,515.000000,515.000000,515.000000
1554848474,6,653,535.167566,324,132.927202,515.000000,653.000000,653.000000,653.000000,653.000000,653.000000
1554848484,6,653,535.167566,324,132.927202,515.000000,653.000000,653.000000,653.000000,653.000000,653.000000
1554848494,6,653,535.167566,324,132.927202,515.000000,653.000000,653.000000,653.000000,653.000000,653.000000
1554848504,6,653,535.167566,324,132.927202,515.000000,653.000000,653.000000,653.000000,653.000000,653.000000
1554848514,6,653,535.167566,324,132.927202,515.000000,653.000000,653.000000,653.000000,653.000000,653.000000
1554848524,6,653,535.167566,324,132.927202,515.000000,653.000000,653.000000,653.000000,653.000000,653.000000
