t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554848334,73,498,56.323527,2,80.466838,34.000000,42.000000,266.000000,399.000000,498.000000,498.000000
1554848344,241,498,49.760574,2,72.517651,34.000000,39.000000,85.000000,416.000000,457.000000,498.000000
1554848354,367,852,57.073108,2,104.005522,34.000000,38.000000,105.000000,494.000000,536.000000,852.000000
1554848364,505,852,59.728160,2,116.176686,34.000000,39.000000,105.000000,499.000000,750.000000,852.000000
1554848374,653,852,60.336464,2,115.311875,34.000000,43.000000,266.000000,517.000000,734.000000,852.000000
1554848384,806,948,60.076454,2,118.689742,34.000000,47.000000,224.000000,529.000000,750.000000,948.000000
1554848394,932,998,60.757356,2,124.330645,34.000000,48.000000,105.000000,530.000000,840.000000,998.000000
1554848404,1051,998,63.747109,1,133.065892,34.000000,49.000000,224.000000,536.000000,849.000000,998.000000
1554848414,1198,998,63.918667,1,129.610254,34.000000,50.000000,214.000000,554.000000,829.000000,998.000000
1554848424,1324,998,63.832924,0,126.025361,34.000000,50.000000,214.000000,554.000000,807.000000,998.000000
1554848434,1504,998,61.946689,0,119.470460,35.000000,50.000000,134.000000,529.000000,799.000000,948.000000
1554848444,1657,998,59.054780,0,110.487945,36.000000,51.000000,99.000000,459.000000,798.000000,948.000000
1554848454,1834,998,57.981192,0,105.795962,35.000000,51.000000,102.000000,459.000000,564.000000,948.000000
1554848464,2004,948,56.642186,0,101.814371,37.000000,51.000000,92.000000,437.000000,553.000000,941.000000
1554848474,2139,948,54.733770,0,95.059117,38.000000,50.000000,87.000000,426.000000,545.000000,941.000000
1554848484,2277,948,54.135054,0,88.575420,38.000000,50.000000,91.000000,417.000000,539.000000,851.000000
1554848494,2396,914,56.244600,0,94.180651,40.000000,51.000000,92.000000,435.000000,553.000000,851.000000
1554848504,2527,923,57.486020,0,100.167475,41.000000,51.000000,94.000000,455.000000,553.000000,923.000000
1554848514,2664,923,57.097458,0,98.634462,41.000000,51.000000,92.000000,435.000000,552.000000,923.000000
1554848524,2845,923,57.287239,0,100.588394,41.000000,51.000000,89.000000,455.000000,567.000000,923.000000
