t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554848324,71,816,51.434629,16,92.854812,33.000000,43.000000,68.000000,91.000000,816.000000,816.000000
1554848334,168,916,69.647475,11,130.176200,33.000000,45.000000,400.000000,535.000000,816.000000,916.000000
1554848344,288,916,68.681244,4,122.652187,34.000000,49.000000,400.000000,520.000000,633.000000,916.000000
1554848354,446,916,63.272513,4,116.308700,33.000000,41.000000,382.000000,516.000000,633.000000,916.000000
1554848364,586,937,64.017764,1,126.828190,33.000000,38.000000,382.000000,522.000000,816.000000,937.000000
1554848374,720,937,60.121207,1,118.778863,33.000000,43.000000,84.000000,517.000000,736.000000,937.000000
1554848384,842,937,61.915475,1,124.382428,33.000000,47.000000,249.000000,534.000000,784.000000,937.000000
1554848394,1027,937,59.815442,1,118.701086,34.000000,49.000000,83.000000,522.000000,736.000000,930.000000
1554848404,1163,937,59.929396,1,115.806416,34.000000,49.000000,200.000000,520.000000,700.000000,930.000000
1554848414,1362,937,56.998362,1,111.696954,34.000000,49.000000,82.000000,521.000000,700.000000,930.000000
1554848424,1529,937,55.297808,1,108.476417,34.000000,50.000000,75.000000,500.000000,700.000000,930.000000
1554848434,1739,930,53.365004,1,100.649324,34.000000,50.000000,72.000000,494.000000,551.000000,917.000000
1554848444,1903,930,51.805549,1,94.468683,34.000000,50.000000,70.000000,400.000000,533.000000,929.000000
1554848454,2039,930,52.427547,1,97.350997,34.000000,50.000000,70.000000,435.000000,540.000000,929.000000
1554848464,2187,929,52.665269,1,92.914863,34.000000,50.000000,72.000000,435.000000,524.000000,929.000000
1554848474,2333,929,51.239377,1,86.689347,34.000000,50.000000,71.000000,391.000000,524.000000,929.000000
1554848484,2462,999,55.134671,1,103.550512,34.000000,50.000000,73.000000,450.000000,568.000000,999.000000
1554848494,2612,999,56.660646,1,108.594518,35.000000,50.000000,81.000000,509.000000,772.000000,999.000000
1554848504,2783,917,56.346791,1,102.113777,38.000000,51.000000,84.000000,435.000000,568.000000,900.000000
1554848514,2917,921,56.201225,1,102.486344,38.000000,50.000000,83.000000,509.000000,549.000000,921.000000
1554848524,3043,921,58.870139,1,110.844925,38.000000,51.000000,90.000000,533.000000,772.000000,921.000000
