t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554848322,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1554848332,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1554848342,1,726,726.000000,726,0.000000,726.000000,726.000000,726.000000,726.000000,726.000000,726.000000
1554848352,1,726,726.000000,726,0.000000,726.000000,726.000000,726.000000,726.000000,726.000000,726.000000
1554848362,1,726,726.000000,726,0.000000,726.000000,726.000000,726.000000,726.000000,726.000000,726.000000
1554848372,2,726,312.108924,56,325.578252,56.000000,726.000000,726.000000,726.000000,726.000000,726.000000
1554848382,5,787,480.908483,56,274.621468,607.000000,726.000000,787.000000,787.000000,787.000000,787.000000
1554848392,6,787,460.431491,56,247.075408,384.000000,726.000000,787.000000,787.000000,787.000000,787.000000
1554848402,6,787,460.431491,56,247.075408,384.000000,726.000000,787.000000,787.000000,787.000000,787.000000
1554848412,6,787,460.431491,56,247.075408,384.000000,726.000000,787.000000,787.000000,787.000000,787.000000
1554848422,6,787,460.431491,56,247.075408,384.000000,726.000000,787.000000,787.000000,787.000000,787.000000
1554848432,7,787,359.117575,56,267.061885,303.000000,607.000000,787.000000,787.000000,787.000000,787.000000
1554848442,7,787,359.117575,56,267.061885,303.000000,607.000000,787.000000,787.000000,787.000000,787.000000
1554848452,7,787,359.117575,56,267.061885,303.000000,607.000000,787.000000,787.000000,787.000000,787.000000
1554848462,7,787,359.117575,56,267.061885,303.000000,607.000000,787.000000,787.000000,787.000000,787.000000
1554848472,7,787,359.117575,56,267.061885,303.000000,607.000000,787.000000,787.000000,787.000000,787.000000
1554848482,7,787,359.117575,56,267.061885,303.000000,607.000000,787.000000,787.000000,787.000000,787.000000
1554848492,7,787,359.117575,56,267.061885,303.000000,607.000000,787.000000,787.000000,787.000000,787.000000
1554848502,7,787,359.117575,56,267.061885,303.000000,607.000000,787.000000,787.000000,787.000000,787.000000
1554848512,7,787,359.117575,56,267.061885,303.000000,607.000000,787.000000,787.000000,787.000000,787.000000
1554848522,7,787,359.117575,56,267.061885,303.000000,607.000000,787.000000,787.000000,787.000000,787.000000
