t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554848325,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1554848335,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1554848345,1,790,790.000000,790,0.000000,790.000000,790.000000,790.000000,790.000000,790.000000,790.000000
1554848355,1,790,790.000000,790,0.000000,790.000000,790.000000,790.000000,790.000000,790.000000,790.000000
1554848365,1,790,790.000000,790,0.000000,790.000000,790.000000,790.000000,790.000000,790.000000,790.000000
1554848375,1,790,790.000000,790,0.000000,790.000000,790.000000,790.000000,790.000000,790.000000,790.000000
1554848385,1,790,790.000000,790,0.000000,790.000000,790.000000,790.000000,790.000000,790.000000,790.000000
1554848395,1,790,790.000000,790,0.000000,790.000000,790.000000,790.000000,790.000000,790.000000,790.000000
1554848405,1,790,790.000000,790,0.000000,790.000000,790.000000,790.000000,790.000000,790.000000,790.000000
1554848415,1,790,790.000000,790,0.000000,790.000000,790.000000,790.000000,790.000000,790.000000,790.000000
1554848425,1,790,790.000000,790,0.000000,790.000000,790.000000,790.000000,790.000000,790.000000,790.000000
1554848435,1,790,790.000000,790,0.000000,790.000000,790.000000,790.000000,790.000000,790.000000,790.000000
1554848445,1,790,790.000000,790,0.000000,790.000000,790.000000,790.000000,790.000000,790.000000,790.000000
1554848455,1,790,790.000000,790,0.000000,790.000000,790.000000,790.000000,790.000000,790.000000,790.000000
1554848465,1,790,790.000000,790,0.000000,790.000000,790.000000,790.000000,790.000000,790.000000,790.000000
1554848475,1,790,790.000000,790,0.000000,790.000000,790.000000,790.000000,790.000000,790.000000,790.000000
1554848485,2,790,289.154695,225,179.252832,225.000000,225.000000,790.000000,790.000000,790.000000,790.000000
1554848495,2,790,289.154695,225,179.252832,225.000000,225.000000,790.000000,790.000000,790.000000,790.000000
1554848505,2,790,289.154695,225,179.252832,225.000000,225.000000,790.000000,790.000000,790.000000,790.000000
1554848515,2,790,289.154695,225,179.252832,225.000000,225.000000,790.000000,790.000000,790.000000,790.000000
1554848525,2,790,289.154695,225,179.252832,225.000000,225.000000,790.000000,790.000000,790.000000,790.000000
