t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554848325,53,44,4.939021,0,9.415465,0.000000,11.000000,31.000000,35.000000,44.000000,44.000000
1554848335,173,134,10.525401,0,22.703183,0.000000,11.000000,44.000000,122.000000,126.000000,134.000000
1554848345,290,389,11.823421,0,34.785921,0.000000,11.000000,44.000000,122.000000,134.000000,389.000000
1554848355,452,389,10.741103,0,30.122649,0.000000,11.000000,36.000000,122.000000,134.000000,389.000000
1554848365,559,389,10.545087,0,28.180261,0.000000,11.000000,33.000000,122.000000,131.000000,389.000000
1554848375,672,389,9.806687,0,25.670862,0.000000,11.000000,33.000000,105.000000,126.000000,389.000000
1554848385,818,389,10.229460,0,24.215107,0.000000,11.000000,33.000000,104.000000,126.000000,256.000000
1554848395,964,389,9.950232,0,22.284165,0.000000,11.000000,33.000000,74.000000,122.000000,256.000000
1554848405,1129,389,9.736263,0,19.856946,0.000000,11.000000,33.000000,49.000000,122.000000,162.000000
1554848415,1270,389,10.077609,0,18.255838,11.000000,11.000000,33.000000,45.000000,111.000000,146.000000
1554848425,1441,389,10.663672,0,18.565201,11.000000,11.000000,33.000000,47.000000,102.000000,208.000000
1554848435,1622,389,10.893780,0,17.607646,11.000000,11.000000,33.000000,47.000000,86.000000,208.000000
1554848445,1739,389,10.849309,0,16.709084,11.000000,11.000000,33.000000,45.000000,56.000000,208.000000
1554848455,1893,389,10.629896,0,16.272307,11.000000,11.000000,33.000000,46.000000,60.000000,208.000000
1554848465,2032,389,11.804725,0,20.178470,11.000000,11.000000,40.000000,78.000000,115.000000,208.000000
1554848475,2156,389,11.271124,0,19.211241,11.000000,11.000000,35.000000,56.000000,111.000000,208.000000
1554848485,2289,389,10.254803,0,16.593224,11.000000,11.000000,33.000000,50.000000,89.000000,145.000000
1554848495,2459,389,10.456975,0,15.864769,11.000000,11.000000,33.000000,50.000000,71.000000,145.000000
1554848505,2629,389,10.201656,0,15.149066,11.000000,11.000000,33.000000,50.000000,71.000000,145.000000
1554848515,2718,146,10.569344,0,14.489408,11.000000,11.000000,33.000000,56.000000,71.000000,122.000000
1554848525,2890,149,11.776358,0,18.201610,11.000000,11.000000,40.000000,78.000000,102.000000,149.000000
