t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1554848325,3,1.061519,0.000000,0.000000,0.000000,events/second
1554848335,12,0.936916,1.000000,1.000000,1.000000,events/second
1554848345,21,0.920998,0.985287,0.996749,0.998898,events/second
1554848355,39,1.188112,1.050232,1.010024,1.003336,events/second
1554848365,58,1.355251,1.180048,1.039173,1.013241,events/second
1554848375,86,1.628081,1.368611,1.083841,1.028570,events/second
1554848385,118,1.879150,1.648484,1.153162,1.052558,events/second
1554848395,157,2.156953,1.964069,1.236685,1.081814,events/second
1554848405,196,2.366877,2.292612,1.330583,1.115167,events/second
1554848415,237,2.554360,2.557285,1.418206,1.147055,events/second
1554848425,278,2.704860,2.778768,1.502847,1.178579,events/second
1554848435,318,2.818808,2.966249,1.584714,1.209755,events/second
1554848445,357,2.907468,3.140940,1.667202,1.241694,events/second
1554848455,400,3.012520,3.274100,1.743735,1.272178,events/second
1554848465,439,3.073810,3.401530,1.821010,1.303428,events/second
1554848475,480,3.140550,3.446711,1.882583,1.329906,events/second
1554848485,523,3.212878,3.577068,1.961808,1.362721,events/second
1554848495,573,3.315934,3.795514,2.061412,1.402912,events/second
1554848505,621,3.397479,3.963155,2.154390,1.441544,events/second
1554848515,669,3.470157,4.075635,2.237818,1.477546,events/second
1554848525,719,3.545526,4.202829,2.325122,1.515365,events/second
