t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554848315,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1554848325,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1554848335,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1554848345,2,791,734.793532,676,57.485448,791.000000,791.000000,791.000000,791.000000,791.000000,791.000000
1554848355,2,791,734.793532,676,57.485448,791.000000,791.000000,791.000000,791.000000,791.000000,791.000000
1554848365,2,791,734.793532,676,57.485448,791.000000,791.000000,791.000000,791.000000,791.000000,791.000000
1554848375,3,791,474.889070,165,286.947357,676.000000,791.000000,791.000000,791.000000,791.000000,791.000000
1554848385,3,791,474.889070,165,286.947357,676.000000,791.000000,791.000000,791.000000,791.000000,791.000000
1554848395,4,791,403.116510,165,245.280562,283.000000,676.000000,791.000000,791.000000,791.000000,791.000000
1554848405,4,791,403.116510,165,245.280562,283.000000,676.000000,791.000000,791.000000,791.000000,791.000000
1554848415,4,791,403.116510,165,245.280562,283.000000,676.000000,791.000000,791.000000,791.000000,791.000000
1554848425,5,791,358.521779,165,205.164717,279.000000,283.000000,791.000000,791.000000,791.000000,791.000000
1554848435,5,791,358.521779,165,205.164717,279.000000,283.000000,791.000000,791.000000,791.000000,791.000000
1554848445,5,791,358.521779,165,205.164717,279.000000,283.000000,791.000000,791.000000,791.000000,791.000000
1554848455,5,791,358.521779,165,205.164717,279.000000,283.000000,791.000000,791.000000,791.000000,791.000000
1554848465,5,791,358.521779,165,205.164717,279.000000,283.000000,791.000000,791.000000,791.000000,791.000000
1554848475,6,791,256.537866,134,188.334446,165.000000,279.000000,791.000000,791.000000,791.000000,791.000000
1554848485,6,791,256.537866,134,188.334446,165.000000,279.000000,791.000000,791.000000,791.000000,791.000000
1554848495,6,791,256.537866,134,188.334446,165.000000,279.000000,791.000000,791.000000,791.000000,791.000000
1554848505,6,791,256.537866,134,188.334446,165.000000,279.000000,791.000000,791.000000,791.000000,791.000000
1554848515,6,791,256.537866,134,188.334446,165.000000,279.000000,791.000000,791.000000,791.000000,791.000000
