t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554848315,1,6,6.000000,6,0.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000
1554848325,4,371,106.026234,6,152.198378,44.000000,44.000000,371.000000,371.000000,371.000000,371.000000
1554848335,9,952,335.705681,6,387.612475,44.000000,574.000000,952.000000,952.000000,952.000000,952.000000
1554848345,14,952,251.264351,6,344.192442,18.000000,566.000000,952.000000,952.000000,952.000000,952.000000
1554848355,19,961,279.511469,6,352.567650,37.000000,566.000000,961.000000,961.000000,961.000000,961.000000
1554848365,24,961,236.443283,6,328.483315,18.000000,511.000000,952.000000,961.000000,961.000000,961.000000
1554848375,29,961,181.141008,5,302.701237,14.000000,163.000000,952.000000,961.000000,961.000000,961.000000
1554848385,33,961,157.271680,4,279.299894,17.000000,157.000000,952.000000,961.000000,961.000000,961.000000
1554848395,36,961,163.489277,4,277.310980,17.000000,157.000000,951.000000,961.000000,961.000000,961.000000
1554848405,41,961,133.078198,4,252.886658,17.000000,37.000000,574.000000,961.000000,961.000000,961.000000
1554848415,44,961,139.846581,4,253.203365,17.000000,37.000000,574.000000,952.000000,961.000000,961.000000
1554848425,49,961,127.630263,4,234.811241,16.000000,37.000000,566.000000,952.000000,961.000000,961.000000
1554848435,53,961,137.558093,4,248.922122,16.000000,37.000000,724.000000,952.000000,961.000000,961.000000
1554848445,55,961,167.985161,4,291.754400,17.000000,157.000000,953.000000,953.000000,961.000000,961.000000
1554848455,60,961,151.005961,4,269.216628,20.000000,44.000000,951.000000,953.000000,953.000000,961.000000
1554848465,63,961,169.898382,4,280.864855,21.000000,157.000000,761.000000,953.000000,953.000000,961.000000
1554848475,67,961,153.563637,4,262.288960,23.000000,157.000000,761.000000,953.000000,953.000000,961.000000
1554848485,72,961,128.394675,4,242.995779,20.000000,37.000000,761.000000,953.000000,953.000000,961.000000
1554848495,77,961,140.989238,4,269.661410,18.000000,37.000000,923.000000,953.000000,953.000000,961.000000
1554848505,82,961,125.752819,4,248.776509,17.000000,95.000000,923.000000,952.000000,953.000000,961.000000
1554848515,84,961,121.808587,4,239.866634,21.000000,95.000000,761.000000,951.000000,953.000000,961.000000
