t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554848332,56,733,57.752950,14,107.322306,33.000000,42.000000,132.000000,432.000000,733.000000,733.000000
1554848342,194,834,54.255080,2,98.542677,33.000000,37.000000,102.000000,432.000000,733.000000,834.000000
1554848352,347,916,57.187906,2,111.048080,33.000000,36.000000,107.000000,532.000000,733.000000,916.000000
1554848362,464,916,59.779289,2,119.056754,33.000000,38.000000,166.000000,532.000000,834.000000,916.000000
1554848372,583,917,59.034237,1,118.339302,34.000000,39.000000,107.000000,532.000000,834.000000,917.000000
1554848382,718,968,61.667485,1,123.516283,34.000000,47.000000,166.000000,533.000000,813.000000,968.000000
1554848392,867,968,59.746273,1,117.403669,34.000000,49.000000,74.000000,533.000000,800.000000,968.000000
1554848402,996,968,59.476743,1,114.167094,34.000000,49.000000,100.000000,532.000000,770.000000,968.000000
1554848412,1162,968,58.876345,1,111.780256,34.000000,50.000000,86.000000,529.000000,770.000000,917.000000
1554848422,1326,968,57.576306,1,107.295026,34.000000,50.000000,83.000000,493.000000,593.000000,928.000000
1554848432,1519,928,56.763939,1,101.214546,34.000000,50.000000,93.000000,481.000000,550.000000,928.000000
1554848442,1680,937,55.949486,1,101.972183,34.000000,50.000000,87.000000,482.000000,552.000000,937.000000
1554848452,1807,937,56.599326,1,100.353045,38.000000,50.000000,93.000000,481.000000,550.000000,937.000000
1554848462,1929,937,59.069464,1,107.112278,41.000000,50.000000,99.000000,513.000000,726.000000,937.000000
1554848472,2067,937,57.768895,1,105.787686,41.000000,50.000000,87.000000,500.000000,726.000000,937.000000
1554848482,2190,937,57.141623,1,103.327970,40.000000,50.000000,87.000000,516.000000,559.000000,848.000000
1554848492,2331,937,60.029984,1,108.896191,40.000000,51.000000,100.000000,516.000000,726.000000,833.000000
1554848502,2523,937,58.726377,1,104.364852,39.000000,50.000000,100.000000,500.000000,559.000000,833.000000
1554848512,2641,987,62.522907,1,120.068837,38.000000,50.000000,116.000000,520.000000,783.000000,987.000000
1554848522,2785,987,59.520877,1,111.066257,41.000000,50.000000,86.000000,516.000000,783.000000,987.000000
