t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554848329,3,22,16.920312,14,3.535766,15.000000,22.000000,22.000000,22.000000,22.000000,22.000000
1554848339,7,22,14.981131,12,3.590985,14.000000,19.000000,22.000000,22.000000,22.000000,22.000000
1554848349,11,199,31.275381,8,55.080921,12.000000,19.000000,199.000000,199.000000,199.000000,199.000000
1554848359,16,974,151.666605,8,285.305002,12.000000,157.000000,974.000000,974.000000,974.000000,974.000000
1554848369,20,974,125.351109,5,252.561851,12.000000,157.000000,974.000000,974.000000,974.000000,974.000000
1554848379,24,974,101.358151,5,226.568587,12.000000,49.000000,577.000000,974.000000,974.000000,974.000000
1554848389,30,974,115.723241,5,249.303480,19.000000,42.000000,837.000000,974.000000,974.000000,974.000000
1554848399,33,974,114.946037,5,235.816835,19.000000,42.000000,837.000000,974.000000,974.000000,974.000000
1554848409,37,974,121.655894,5,235.433161,19.000000,42.000000,837.000000,974.000000,974.000000,974.000000
1554848419,41,974,140.700415,5,234.615933,20.000000,162.000000,582.000000,837.000000,974.000000,974.000000
1554848429,46,974,114.897435,4,215.751147,19.000000,49.000000,582.000000,837.000000,974.000000,974.000000
1554848439,48,974,126.049412,4,211.659352,20.000000,154.000000,582.000000,837.000000,974.000000,974.000000
1554848449,52,974,119.873199,4,201.394937,19.000000,154.000000,582.000000,837.000000,974.000000,974.000000
1554848459,56,974,134.489590,4,226.123814,20.000000,154.000000,736.000000,837.000000,837.000000,974.000000
1554848469,61,974,150.964106,4,240.773309,20.000000,162.000000,736.000000,736.000000,837.000000,974.000000
1554848479,66,974,163.994272,4,249.391948,20.000000,317.000000,732.000000,736.000000,837.000000,974.000000
1554848489,71,974,138.360027,4,233.378384,19.000000,154.000000,732.000000,736.000000,837.000000,974.000000
1554848499,75,974,133.773691,4,221.532426,23.000000,154.000000,732.000000,736.000000,837.000000,974.000000
1554848509,78,974,170.324797,4,259.033222,25.000000,310.000000,731.000000,736.000000,736.000000,974.000000
1554848519,83,974,180.841038,4,270.005552,27.000000,300.000000,736.000000,833.000000,833.000000,974.000000
