t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554848317,17,11,5.836839,0,5.489676,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000
1554848327,176,40,4.249880,0,7.813113,0.000000,11.000000,16.000000,33.000000,39.000000,40.000000
1554848337,338,68,4.848996,0,8.801614,0.000000,11.000000,22.000000,33.000000,40.000000,68.000000
1554848347,460,134,7.109694,0,16.802040,0.000000,11.000000,31.000000,67.000000,104.000000,134.000000
1554848357,588,134,7.274939,0,17.387336,0.000000,11.000000,31.000000,71.000000,114.000000,134.000000
1554848367,747,200,7.454142,0,18.779818,0.000000,11.000000,31.000000,68.000000,114.000000,200.000000
1554848377,836,200,8.059461,0,19.420147,0.000000,11.000000,33.000000,78.000000,114.000000,200.000000
1554848387,951,211,9.652395,0,23.838895,0.000000,11.000000,40.000000,104.000000,128.000000,211.000000
1554848397,1076,211,10.297853,0,22.833160,0.000000,11.000000,40.000000,89.000000,122.000000,211.000000
1554848407,1211,211,11.665477,0,24.404444,0.000000,11.000000,44.000000,89.000000,128.000000,211.000000
1554848417,1366,211,11.603009,0,23.344591,11.000000,11.000000,40.000000,89.000000,128.000000,211.000000
1554848427,1507,233,12.821994,0,25.247129,11.000000,11.000000,44.000000,89.000000,128.000000,233.000000
1554848437,1675,233,12.298697,0,23.272217,11.000000,11.000000,44.000000,71.000000,122.000000,233.000000
1554848447,1866,211,11.394964,0,19.515529,11.000000,11.000000,40.000000,56.000000,100.000000,208.000000
1554848457,1989,211,10.731868,0,18.517248,11.000000,11.000000,40.000000,50.000000,79.000000,208.000000
1554848467,2139,211,10.655794,0,17.749090,11.000000,11.000000,35.000000,56.000000,68.000000,208.000000
1554848477,2280,212,12.847999,0,23.602568,11.000000,11.000000,44.000000,101.000000,128.000000,212.000000
1554848487,2402,212,12.809810,0,22.903684,11.000000,11.000000,44.000000,100.000000,122.000000,212.000000
1554848497,2521,212,12.758032,0,21.468102,11.000000,11.000000,44.000000,78.000000,111.000000,212.000000
1554848507,2686,212,11.877557,0,19.743272,11.000000,11.000000,35.000000,65.000000,111.000000,212.000000
1554848517,2855,212,11.750841,0,18.695664,11.000000,11.000000,40.000000,60.000000,100.000000,211.000000
