t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554848337,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1554848347,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1554848357,1,126,126.000000,126,0.000000,126.000000,126.000000,126.000000,126.000000,126.000000,126.000000
1554848367,1,126,126.000000,126,0.000000,126.000000,126.000000,126.000000,126.000000,126.000000,126.000000
1554848377,3,534,328.105979,126,168.674575,270.000000,534.000000,534.000000,534.000000,534.000000,534.000000
1554848387,4,716,449.133847,126,227.754791,534.000000,716.000000,716.000000,716.000000,716.000000,716.000000
1554848397,5,716,424.886881,126,199.230969,358.000000,534.000000,716.000000,716.000000,716.000000,716.000000
1554848407,6,716,443.855844,126,179.507885,511.000000,534.000000,716.000000,716.000000,716.000000,716.000000
1554848417,6,716,443.855844,126,179.507885,511.000000,534.000000,716.000000,716.000000,716.000000,716.000000
1554848427,6,716,443.855844,126,179.507885,511.000000,534.000000,716.000000,716.000000,716.000000,716.000000
1554848437,7,716,432.091253,126,156.669481,397.000000,511.000000,716.000000,716.000000,716.000000,716.000000
1554848447,7,716,432.091253,126,156.669481,397.000000,511.000000,716.000000,716.000000,716.000000,716.000000
1554848457,7,716,432.091253,126,156.669481,397.000000,511.000000,716.000000,716.000000,716.000000,716.000000
1554848467,7,716,432.091253,126,156.669481,397.000000,511.000000,716.000000,716.000000,716.000000,716.000000
1554848477,7,716,432.091253,126,156.669481,397.000000,511.000000,716.000000,716.000000,716.000000,716.000000
1554848487,7,716,432.091253,126,156.669481,397.000000,511.000000,716.000000,716.000000,716.000000,716.000000
1554848497,7,716,432.091253,126,156.669481,397.000000,511.000000,716.000000,716.000000,716.000000,716.000000
1554848507,7,716,432.091253,126,156.669481,397.000000,511.000000,716.000000,716.000000,716.000000,716.000000
1554848517,7,716,432.091253,126,156.669481,397.000000,511.000000,716.000000,716.000000,716.000000,716.000000
