t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554848337,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1554848347,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1554848357,1,168,168.000000,168,0.000000,168.000000,168.000000,168.000000,168.000000,168.000000,168.000000
1554848367,1,168,168.000000,168,0.000000,168.000000,168.000000,168.000000,168.000000,168.000000,168.000000
1554848377,1,168,168.000000,168,0.000000,168.000000,168.000000,168.000000,168.000000,168.000000,168.000000
1554848387,1,168,168.000000,168,0.000000,168.000000,168.000000,168.000000,168.000000,168.000000,168.000000
1554848397,2,352,286.800760,168,88.009768,352.000000,352.000000,352.000000,352.000000,352.000000,352.000000
1554848407,2,352,286.800760,168,88.009768,352.000000,352.000000,352.000000,352.000000,352.000000,352.000000
1554848417,2,352,286.800760,168,88.009768,352.000000,352.000000,352.000000,352.000000,352.000000,352.000000
1554848427,2,352,286.800760,168,88.009768,352.000000,352.000000,352.000000,352.000000,352.000000,352.000000
1554848437,2,352,286.800760,168,88.009768,352.000000,352.000000,352.000000,352.000000,352.000000,352.000000
1554848447,2,352,286.800760,168,88.009768,352.000000,352.000000,352.000000,352.000000,352.000000,352.000000
1554848457,2,352,286.800760,168,88.009768,352.000000,352.000000,352.000000,352.000000,352.000000,352.000000
1554848467,2,352,286.800760,168,88.009768,352.000000,352.000000,352.000000,352.000000,352.000000,352.000000
1554848477,2,352,286.800760,168,88.009768,352.000000,352.000000,352.000000,352.000000,352.000000,352.000000
1554848487,2,352,286.800760,168,88.009768,352.000000,352.000000,352.000000,352.000000,352.000000,352.000000
1554848497,3,352,213.544241,168,65.290878,185.000000,185.000000,352.000000,352.000000,352.000000,352.000000
1554848507,3,352,213.544241,168,65.290878,185.000000,185.000000,352.000000,352.000000,352.000000,352.000000
1554848517,3,352,213.544241,168,65.290878,185.000000,185.000000,352.000000,352.000000,352.000000,352.000000
