t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554848980,2,44,26.237520,9,17.498031,9.000000,44.000000,44.000000,44.000000,44.000000,44.000000
1554848990,7,591,130.188613,9,205.352292,11.000000,174.000000,591.000000,591.000000,591.000000,591.000000
1554849000,10,938,218.684329,1,314.271248,44.000000,189.000000,938.000000,938.000000,938.000000,938.000000
1554849010,15,938,137.933067,1,264.008012,19.000000,174.000000,938.000000,938.000000,938.000000,938.000000
1554849020,19,938,159.193725,1,289.380127,16.000000,174.000000,938.000000,938.000000,938.000000,938.000000
1554849030,24,938,117.642430,1,254.867616,14.000000,21.000000,798.000000,938.000000,938.000000,938.000000
1554849040,28,938,94.578858,1,231.489719,11.000000,19.000000,798.000000,938.000000,938.000000,938.000000
1554849050,32,938,86.558600,1,211.788472,11.000000,19.000000,798.000000,938.000000,938.000000,938.000000
1554849060,37,938,101.276169,1,217.275214,10.000000,21.000000,601.000000,798.000000,938.000000,938.000000
1554849070,41,980,149.232218,1,268.974766,12.000000,186.000000,938.000000,980.000000,980.000000,980.000000
1554849080,42,980,153.057082,1,263.424721,12.000000,186.000000,938.000000,980.000000,980.000000,980.000000
1554849090,47,980,137.455270,1,244.784797,11.000000,186.000000,798.000000,980.000000,980.000000,980.000000
1554849100,51,980,164.558063,1,264.722406,11.000000,234.000000,775.000000,980.000000,980.000000,980.000000
1554849110,56,980,163.448729,1,274.400787,10.000000,189.000000,789.000000,980.000000,980.000000,980.000000
1554849120,61,980,176.213861,1,279.705117,11.000000,370.000000,789.000000,938.000000,980.000000,980.000000
1554849130,66,980,149.010509,1,260.753556,17.000000,186.000000,789.000000,798.000000,980.000000,980.000000
1554849140,71,980,164.787038,1,270.103538,18.000000,234.000000,775.000000,798.000000,980.000000,980.000000
1554849150,73,980,209.807487,1,304.863307,19.000000,370.000000,783.000000,798.000000,980.000000,980.000000
