t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554848980,2,82,68.297515,55,13.498481,55.000000,82.000000,82.000000,82.000000,82.000000,82.000000
1554848990,7,82,51.754957,29,15.136782,46.000000,63.000000,82.000000,82.000000,82.000000,82.000000
1554849000,10,936,154.264100,29,285.440279,46.000000,63.000000,936.000000,936.000000,936.000000,936.000000
1554849010,15,936,105.796432,18,230.152388,46.000000,51.000000,936.000000,936.000000,936.000000,936.000000
1554849020,20,936,73.281534,2,196.501652,29.000000,49.000000,82.000000,936.000000,936.000000,936.000000
1554849030,25,936,65.738114,2,169.483731,32.000000,46.000000,109.000000,936.000000,936.000000,936.000000
1554849040,30,936,57.636422,2,148.736356,32.000000,46.000000,109.000000,936.000000,936.000000,936.000000
1554849050,35,936,49.051602,2,132.852435,31.000000,32.000000,109.000000,936.000000,936.000000,936.000000
1554849060,40,936,43.271680,2,119.672538,31.000000,44.000000,82.000000,109.000000,936.000000,936.000000
1554849070,45,936,37.353033,2,108.571726,29.000000,32.000000,63.000000,109.000000,936.000000,936.000000
1554849080,50,936,38.908850,2,103.005753,25.000000,32.000000,109.000000,192.000000,936.000000,936.000000
1554849090,55,936,35.736878,2,94.176548,25.000000,39.000000,109.000000,192.000000,192.000000,936.000000
1554849100,60,936,35.444169,2,88.688839,13.000000,32.000000,137.000000,192.000000,192.000000,936.000000
1554849110,65,936,40.880748,2,94.593248,18.000000,32.000000,192.000000,306.000000,306.000000,936.000000
1554849120,70,936,35.232288,2,87.744267,11.000000,32.000000,137.000000,306.000000,306.000000,936.000000
1554849130,75,936,31.048689,2,81.324947,7.000000,32.000000,137.000000,306.000000,306.000000,936.000000
1554849140,80,936,27.943927,2,75.304848,7.000000,30.000000,137.000000,306.000000,306.000000,936.000000
1554849150,85,936,36.791327,2,91.795713,11.000000,30.000000,306.000000,363.000000,363.000000,936.000000
